"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AO","40","40","24540","22200"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","EO","EO","55","50","30000","28120"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","AA/AO","AA","55","50","23410","23340"
"In post","2023","Declared disabled","Angus and Dundee City","AA/AO","AO","115","100","22170","21690"
"In post","2023","Declared disabled","Angus and Dundee City","EO","EO","130","120","28770","28120"
"In post","2023","Declared disabled","Angus and Dundee City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","SEO/HEO","HEO","30","30","35450","34730"
"In post","2023","Declared disabled","Angus and Dundee City","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","AO","[c]","[c]","[c]","[c]"
