"Status","Year","Age","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Inner London - West","10","10","23200","20980"
"In post","2023","16-19","Attorney General's Departments","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","5","5","[c]","[c]"
