"Status","Year","Function_of_post","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","HEO","Female","55","55","31030","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","HEO","Male","55","55","31200","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","60","55","25960","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","45","45","26040","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G7","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G7","Male","50","50","50240","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","Female","85","75","30530","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","Male","70","70","30620","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","Female","60","55","37570","37310"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","Male","60","60","38050","37310"
"In post","2023","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G7","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G7","Male","35","35","57790","55950"
"In post","2023","Analysis","Competition and Markets Authority","HEO","Female","10","10","[c]","[c]"
