"Status","Year","Disability","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","10","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","30","30","31380","32110"
