"Status","Year","Age","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","East of England","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","South East (England)","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Wales","75","65","20560","19000"
"In post","2023","16-19","Department for Transport","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","North East (England)","10","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","North West (England)","15","15","23640","21690"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","South East (England)","15","15","23210","22750"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","East Midlands (England)","10","10","22950","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","North East (England)","20","20","22810","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","North West (England)","25","25","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Scotland","15","15","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Wales","15","15","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","West Midlands (England)","10","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Yorkshire and The Humber","25","25","23200","22520"
