"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","15","15","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","35","35","23480","22150"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","35","35","28860","29080"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","AO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","EO","65","60","28010","28370"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","G6","40","40","67710","66530"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","G7","125","125","57010","56430"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","HEO","80","80","35040","35650"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SEO","85","80","41590","41870"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","HEO","185","185","30800","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","AO","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","G6","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","G7","30","30","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","HEO","35","30","35280","34620"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
