"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","25","20","56940","55470"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","AA/AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire","G6/G7","50","45","61220","59050"
"In post","2023","Attorney General's Departments","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SEO/HEO","25","25","36970","36170"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","AA/AO","120","115","22830","22870"
"In post","2023","Attorney General's Departments","Birmingham","EO","110","105","27680","26900"
"In post","2023","Attorney General's Departments","Birmingham","G6/G7","235","220","56020","54800"
"In post","2023","Attorney General's Departments","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","SEO/HEO","70","70","35370","35000"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","AA/AO","30","30","23760","24480"
"In post","2023","Attorney General's Departments","Brighton and Hove","EO","30","30","29100","28200"
"In post","2023","Attorney General's Departments","Brighton and Hove","G6/G7","45","40","60660","58820"
"In post","2023","Attorney General's Departments","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","SEO/HEO","15","10","37520","36780"
"In post","2023","Attorney General's Departments","Bristol, City of","AA/AO","45","40","22230","22870"
"In post","2023","Attorney General's Departments","Bristol, City of","EO","40","40","28040","27400"
"In post","2023","Attorney General's Departments","Bristol, City of","G6/G7","120","110","56800","54320"
"In post","2023","Attorney General's Departments","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bristol, City of","SEO/HEO","25","25","35430","34410"
"In post","2023","Attorney General's Departments","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Calderdale and Kirklees","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","G6/G7","10","10","51400","49050"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","AA/AO","55","50","23040","22870"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","EO","45","45","27830","27400"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","G6/G7","105","95","56300","55390"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","SEO/HEO","30","30","36330","38350"
"In post","2023","Attorney General's Departments","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire East","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Conwy and Denbighshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Croydon","AA/AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Croydon","EO","10","10","28380","28170"
"In post","2023","Attorney General's Departments","Croydon","G6/G7","10","10","60250","62830"
"In post","2023","Attorney General's Departments","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Croydon","SEO/HEO","20","20","35970","36050"
"In post","2023","Attorney General's Departments","Darlington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon CC","AA/AO","15","15","22370","22870"
"In post","2023","Attorney General's Departments","Devon CC","EO","25","20","27870","27440"
"In post","2023","Attorney General's Departments","Devon CC","G6/G7","50","45","55850","56450"
"In post","2023","Attorney General's Departments","Devon CC","SEO/HEO","20","20","35670","34640"
"In post","2023","Attorney General's Departments","Dorset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dudley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Ealing","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","AA/AO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","G6/G7","15","15","57210","55870"
"In post","2023","Attorney General's Departments","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Kent","AA/AO","30","30","23910","24480"
"In post","2023","Attorney General's Departments","East Kent","EO","30","30","29340","29100"
"In post","2023","Attorney General's Departments","East Kent","G6/G7","50","45","59910","58210"
"In post","2023","Attorney General's Departments","East Kent","SEO/HEO","20","20","38630","38660"
"In post","2023","Attorney General's Departments","East Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Surrey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Haven Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Thames Gateway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","AA/AO","15","15","22850","22870"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","EO","15","15","27820","27420"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","G6/G7","45","40","54010","53700"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","SEO/HEO","15","15","36610","36680"
"In post","2023","Attorney General's Departments","Gloucestershire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gwent Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","G6/G7","[c]","[c]","[c]","[c]"
