"Status","Year","Function_of_post","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Heterosexual / straight","35","35","33140","32960"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Unknown","65","65","29740","28840"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","LGBO","[c]","[c]","[c]","[c]"
