"Status","Year","Disability","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","30","30","31820","30320"
"In post","2023","Declared disabled","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","Operational Research","35","35","44810","46690"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","Science and Engineering","150","145","44570","46690"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Social Research","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Statistics","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
