"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Heterosexual / straight","120","110","37660","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
