"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","London","AO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","London","EO","20","15","[c]","[c]"
"In post","2023","Asian","Commercial","London","G6","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","London","G7","55","55","61600","60410"
"In post","2023","Asian","Commercial","London","HEO","55","55","35500","35410"
"In post","2023","Asian","Commercial","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","London","SEO","40","40","43700","43750"
"In post","2023","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","G7","35","35","57940","55000"
"In post","2023","Asian","Commercial","Outside London","HEO","70","65","33180","33990"
"In post","2023","Asian","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","SEO","40","40","41850","41080"
"In post","2023","Asian","Commercial","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
