"Status","Year","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","10","10","66550","62060"
"In post","2023","Active Travel England","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","10","10","[c]","[c]"
"In post","2023","Active Travel England","York","30","30","47030","40560"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","75","70","32870","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","45","40","34310","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","80","75","32080","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","95","85","32550","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","70","60","33730","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","145","130","32130","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","20","20","35640","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","40","35","34880","34950"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","165","160","44000","39360"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","15","15","33220","32070"
"In post","2023","Animal and Plant Health Agency","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","75","70","25370","22150"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","25","25","32300","30320"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","100","95","29890","25920"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","30","30","31240","29150"
"In post","2023","Animal and Plant Health Agency","Cheshire East","25","20","34230","30320"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","60","60","32390","30320"
"In post","2023","Animal and Plant Health Agency","Devon CC","215","205","28220","24920"
"In post","2023","Animal and Plant Health Agency","Dorset","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","190","180","26020","22150"
"In post","2023","Animal and Plant Health Agency","East Kent","40","35","30590","30320"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","10","10","33080","30320"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","30","30","30350","29150"
"In post","2023","Animal and Plant Health Agency","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","80","75","31600","26030"
"In post","2023","Animal and Plant Health Agency","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","65","55","28240","25920"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","15","15","38850","38060"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","35","35","31930","29740"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","10","10","34280","32480"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","45","45","35330","32720"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","20","20","29480","25920"
"In post","2023","Animal and Plant Health Agency","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","20","20","35850","33810"
