"Status","Year","Age","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Heterosexual / straight","40","40","24920","23230"
"In post","2023","16-19","East Midlands (England)","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","35","35","24250","23230"
"In post","2023","16-19","East of England","Heterosexual / straight","40","40","24810","23230"
"In post","2023","16-19","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","London","Heterosexual / straight","65","65","26290","26400"
"In post","2023","16-19","London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","50","45","27970","26840"
"In post","2023","16-19","North East (England)","Heterosexual / straight","45","45","23340","22520"
"In post","2023","16-19","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","North West (England)","Heterosexual / straight","70","70","24100","22520"
"In post","2023","16-19","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Unknown","65","60","23140","22400"
"In post","2023","16-19","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Heterosexual / straight","40","40","22990","22520"
"In post","2023","16-19","Scotland","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Unknown","85","80","22560","22400"
"In post","2023","16-19","South East (England)","Heterosexual / straight","85","85","23820","23340"
"In post","2023","16-19","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Unknown","85","80","23300","22520"
"In post","2023","16-19","South West (England)","Heterosexual / straight","105","105","21750","20870"
"In post","2023","16-19","South West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","South West (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","South West (England)","Unknown","80","80","19880","18780"
"In post","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","35","35","20430","17650"
"In post","2023","16-19","Wales","Heterosexual / straight","95","90","21640","22150"
"In post","2023","16-19","Wales","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wales","Unknown","50","45","21370","22280"
"In post","2023","16-19","West Midlands (England)","Heterosexual / straight","50","50","22980","22700"
"In post","2023","16-19","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Unknown","30","30","24160","22520"
"In post","2023","16-19","Yorkshire and The Humber","Heterosexual / straight","65","65","23600","22520"
"In post","2023","16-19","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","Unknown","50","50","24070","22520"
"In post","2023","20-29","East Midlands (England)","Heterosexual / straight","2240","2200","28100","28120"
"In post","2023","20-29","East Midlands (England)","LGBO","305","300","26870","25560"
"In post","2023","20-29","East Midlands (England)","Undeclared","160","155","27700","27770"
"In post","2023","20-29","East Midlands (England)","Unknown","915","890","26660","26410"
"In post","2023","20-29","East of England","Heterosexual / straight","1915","1875","28850","28480"
"In post","2023","20-29","East of England","LGBO","220","220","28000","28120"
"In post","2023","20-29","East of England","Undeclared","140","140","28290","28120"
"In post","2023","20-29","East of England","Unknown","705","695","27470","25920"
"In post","2023","20-29","London","Heterosexual / straight","12785","12715","38800","35630"
"In post","2023","20-29","London","LGBO","1890","1880","40460","37410"
"In post","2023","20-29","London","Undeclared","1510","1500","39530","35960"
"In post","2023","20-29","London","Unknown","6510","6470","36820","34410"
"In post","2023","20-29","North East (England)","Heterosexual / straight","2995","2935","28230","28080"
"In post","2023","20-29","North East (England)","LGBO","435","430","27560","27650"
"In post","2023","20-29","North East (England)","Undeclared","175","175","28780","27650"
"In post","2023","20-29","North East (England)","Unknown","1265","1225","27460","26560"
"In post","2023","20-29","North West (England)","Heterosexual / straight","6030","5945","28620","27890"
"In post","2023","20-29","North West (England)","LGBO","860","845","28800","28120"
"In post","2023","20-29","North West (England)","Undeclared","385","380","28610","28120"
"In post","2023","20-29","North West (England)","Unknown","3145","3090","26930","25750"
"In post","2023","20-29","Northern Ireland","Heterosexual / straight","290","285","27410","25880"
"In post","2023","20-29","Northern Ireland","LGBO","35","35","27120","26390"
"In post","2023","20-29","Northern Ireland","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Unknown","260","255","25500","22520"
