"Status","Year","Function_of_post","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Female","Heterosexual / straight","40","40","45530","43650"
"In post","2023","Analysis","Digital, Data and Technology","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Male","Heterosexual / straight","70","70","45990","43530"
"In post","2023","Analysis","Digital, Data and Technology","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Male","Unknown","30","30","46450","43650"
"In post","2023","Analysis","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Female","Heterosexual / straight","440","425","49130","45410"
"In post","2023","Analysis","Economics","Female","LGBO","50","50","43460","39430"
"In post","2023","Analysis","Economics","Female","Undeclared","45","45","45590","39040"
"In post","2023","Analysis","Economics","Female","Unknown","110","105","45320","42360"
"In post","2023","Analysis","Economics","Male","Heterosexual / straight","785","780","49230","48660"
"In post","2023","Analysis","Economics","Male","LGBO","80","80","47300","40670"
"In post","2023","Analysis","Economics","Male","Undeclared","90","85","51120","54110"
"In post","2023","Analysis","Economics","Male","Unknown","205","205","47630","40010"
"In post","2023","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Female","Heterosexual / straight","35","35","35940","34300"
"In post","2023","Analysis","Intelligence Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Male","Heterosexual / straight","50","50","46780","45190"
"In post","2023","Analysis","Intelligence Analysis","Male","LGBO","5","5","[c]","[c]"
