"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SEO","Female","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","G7","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","HEO","Male","[c]","[c]","[c]","[c]"
