"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA/AO","AO","245","225","23320","24280"
"In post","2023","Asian","Attorney General's Departments","EO","EO","235","220","28330","28200"
"In post","2023","Asian","Attorney General's Departments","G6/G7","G6","95","90","69340","67600"
"In post","2023","Asian","Attorney General's Departments","G6/G7","G7","465","430","55890","54100"
"In post","2023","Asian","Attorney General's Departments","SCS level","SCS level","15","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","HEO","90","90","35170","33780"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","SEO","85","80","40200","40540"
"In post","2023","Asian","Cabinet Office","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","EO","75","70","27630","28370"
"In post","2023","Asian","Cabinet Office","G6/G7","G6","55","55","69400","66530"
"In post","2023","Asian","Cabinet Office","G6/G7","G7","185","185","58680","56430"
"In post","2023","Asian","Cabinet Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO/HEO","HEO","290","285","32160","32580"
"In post","2023","Asian","Cabinet Office","SEO/HEO","SEO","100","100","41310","41870"
"In post","2023","Asian","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","EO","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","G7","30","30","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","HEO","35","30","35280","34620"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","AO","80","75","23250","22180"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","EO","105","100","28170","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","G6","65","65","68360","66790"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","G7","190","185","56190","55120"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","15","15","[c]","[c]"
