"Status","Year","Function_of_post","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Female","40","40","32990","30130"
"In post","2023","Analysis","Cabinet Office","London","Male","55","55","34830","32960"
"In post","2023","Analysis","Cabinet Office","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Female","70","65","68400","67430"
"In post","2023","Analysis","Chancellor's other departments","London","Male","125","120","70410","61650"
"In post","2023","Analysis","Chancellor's other departments","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Female","40","40","66500","58050"
"In post","2023","Analysis","Competition and Markets Authority","London","Male","85","85","62920","58050"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","85","80","45020","36960"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Male","130","125","43790","38910"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Female","50","50","38660","39300"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Male","60","60","40180","37110"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","50990","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Male","70","70","51520","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Female","130","120","49550","46600"
"In post","2023","Analysis","Department for Education","London","Male","95","95","52690","53130"
"In post","2023","Analysis","Department for Education","Outside London","Female","210","195","43250","43250"
"In post","2023","Analysis","Department for Education","Outside London","Male","165","165","44470","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Female","255","235","33490","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Male","290","285","37210","31690"
"In post","2023","Analysis","Department for International Trade","London","Female","100","95","47180","41750"
"In post","2023","Analysis","Department for International Trade","London","Male","145","145","50570","55370"
"In post","2023","Analysis","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Female","85","85","48360","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Male","125","125","50270","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Male","35","35","42280","41560"
"In post","2023","Analysis","Department for Transport","London","Female","140","135","51820","55740"
"In post","2023","Analysis","Department for Transport","London","Male","180","180","50500","55190"
"In post","2023","Analysis","Department for Transport","Outside London","Female","45","45","34220","31660"
"In post","2023","Analysis","Department for Transport","Outside London","Male","45","45","36800","33850"
"In post","2023","Analysis","Department for Work and Pensions","London","Female","115","105","49080","43760"
"In post","2023","Analysis","Department for Work and Pensions","London","Male","110","110","51560","43810"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","Female","215","195","43300","38470"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","Male","240","235","42510","38470"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Female","85","80","44000","34280"
"In post","2023","Analysis","Department of Health and Social Care","London","Male","65","65","45740","41710"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","Female","40","40","45810","50830"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","Male","50","50","48470","50960"
"In post","2023","Analysis","Estyn","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Overseas","Female","[c]","[c]","[c]","[c]"
