"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Active Travel England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","G6/G7","95","90","52420","49260"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","SEO/HEO","80","80","37500","39890"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
