"Status","Year","Disability","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Heterosexual / straight","235","225","48930","45170"
"In post","2023","Declared disabled","Analysis","London","LGBO","55","55","45250","43650"
"In post","2023","Declared disabled","Analysis","London","Undeclared","35","30","48130","43650"
"In post","2023","Declared disabled","Analysis","London","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Heterosexual / straight","45","40","42040","41780"
"In post","2023","Declared disabled","Analysis","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
