"Status","Year","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","Female","2020","1930","49230","44920"
"In post","2023","Analysis","London","Male","2400","2365","51000","46250"
"In post","2023","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","Female","2725","2555","39870","38120"
"In post","2023","Analysis","Outside London","Male","3165","3095","42120","39300"
"In post","2023","Analysis","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Female","865","845","54590","52770"
"In post","2023","Commercial","London","Male","945","935","61960","56200"
"In post","2023","Commercial","Outside London","Female","2970","2820","42430","39090"
"In post","2023","Commercial","Outside London","Male","2465","2430","46390","41780"
"In post","2023","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Female","1320","1280","48700","44450"
"In post","2023","Communications","London","Male","875","875","50110","44800"
"In post","2023","Communications","Outside London","Female","1190","1110","38410","37300"
"In post","2023","Communications","Outside London","Male","755","740","38770","35910"
"In post","2023","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","Female","1810","1680","37330","32540"
"In post","2023","Counter Fraud","London","Male","1800","1750","40950","39450"
"In post","2023","Counter Fraud","Outside London","Female","7305","6540","31670","28130"
"In post","2023","Counter Fraud","Outside London","Male","6210","5945","34010","29730"
"In post","2023","Counter Fraud","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Debt","London","Female","390","345","29430","26920"
"In post","2023","Debt","London","Male","245","230","30090","26920"
"In post","2023","Debt","Outside London","Female","4280","3685","24260","22520"
"In post","2023","Debt","Outside London","Male","2835","2710","24280","22520"
"In post","2023","Debt","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","Female","2235","2170","48650","44090"
"In post","2023","Digital, Data & Technology","London","Male","3330","3295","51150","46870"
"In post","2023","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","Female","7535","7155","40220","37760"
"In post","2023","Digital, Data & Technology","Outside London","Male","13140","12910","42460","39460"
"In post","2023","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","Female","25","25","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","Male","50","50","41930","41010"
"In post","2023","Digital, Data & Technology","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Finance","London","Female","1550","1485","48380","43760"
"In post","2023","Finance","London","Male","1605","1590","52400","48070"
"In post","2023","Finance","Outside London","Female","5600","5125","36520","34170"
"In post","2023","Finance","Outside London","Male","4055","3950","39900","35990"
"In post","2023","Finance","Overseas","Female","30","30","49330","48980"
"In post","2023","Finance","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Grants Management","London","Female","35","35","51890","48960"
"In post","2023","Grants Management","London","Male","25","25","[c]","[c]"
"In post","2023","Grants Management","Outside London","Female","1475","1305","25850","22150"
"In post","2023","Grants Management","Outside London","Male","1080","1050","26200","22150"
"In post","2023","Human Resources","London","Female","2100","2015","48240","43650"
"In post","2023","Human Resources","London","Male","975","960","48630","43650"
"In post","2023","Human Resources","Outside London","Female","6795","6365","36720","34070"
"In post","2023","Human Resources","Outside London","Male","4280","4185","36420","33990"
"In post","2023","Human Resources","Overseas","Female","165","165","54840","55970"
"In post","2023","Human Resources","Overseas","Male","75","75","60960","60090"
"In post","2023","Human Resources","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Human Resources","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","London","Female","85","80","52570","51400"
"In post","2023","Internal Audit","London","Male","110","110","55240","53320"
"In post","2023","Internal Audit","Outside London","Female","300","280","44430","42700"
"In post","2023","Internal Audit","Outside London","Male","215","210","47630","45570"
"In post","2023","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","Female","10","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Legal","London","Female","3420","3165","52850","54100"
"In post","2023","Legal","London","Male","1865","1820","55770","55170"
"In post","2023","Legal","Outside London","Female","5350","4870","42590","38940"
"In post","2023","Legal","Outside London","Male","2735","2640","46390","49050"
"In post","2023","Legal","Overseas","Female","5","5","[c]","[c]"
"In post","2023","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","No function","London","Female","35365","33335","41990","36180"
"In post","2023","No function","London","Male","27880","27280","44670","39540"
"In post","2023","No function","Outside London","Female","151005","134815","29800","28120"
"In post","2023","No function","Outside London","Male","113030","108295","31960","28130"
"In post","2023","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","No function","Overseas","Female","1110","1105","53570","53970"
"In post","2023","No function","Overseas","Male","1575","1570","53850","53970"
"In post","2023","No function","Unknown","Female","360","335","32660","28120"
"In post","2023","No function","Unknown","Male","365","345","34380","28120"
"In post","2023","Project Delivery","London","Female","3045","2915","52740","48280"
"In post","2023","Project Delivery","London","Male","2430","2385","56600","55210"
"In post","2023","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Outside London","Female","8255","7785","41520","39450"
"In post","2023","Project Delivery","Outside London","Male","8415","8230","45110","42140"
"In post","2023","Project Delivery","Overseas","Female","60","60","53060","53400"
"In post","2023","Project Delivery","Overseas","Male","80","80","61310","58910"
"In post","2023","Project Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Property","London","Female","590","555","42690","37910"
"In post","2023","Property","London","Male","775","755","46600","43650"
"In post","2023","Property","Outside London","Female","3335","3105","34430","32260"
"In post","2023","Property","Outside London","Male","4100","3995","37100","34300"
"In post","2023","Property","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Property","Overseas","Male","55","55","48770","44530"
"In post","2023","Property","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Property","Unknown","Male","30","30","46230","44330"
"In post","2023","Security","London","Female","660","635","44360","40510"
"In post","2023","Security","London","Male","1075","1070","44670","41030"
"In post","2023","Security","Outside London","Female","1895","1810","31830","28120"
"In post","2023","Security","Outside London","Male","6190","6060","32820","28560"
"In post","2023","Security","Overseas","Female","25","25","[c]","[c]"
"In post","2023","Security","Overseas","Male","125","125","42480","39400"
"In post","2023","Security","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Security","Unknown","Male","45","40","27460","24610"
"In post","2023","Unknown","London","Female","1220","1180","42630","34790"
"In post","2023","Unknown","London","Male","700","690","43620","39150"
"In post","2023","Unknown","Outside London","Female","14840","13920","41240","38170"
"In post","2023","Unknown","Outside London","Male","12290","12020","42720","38520"
"In post","2023","Unknown","Overseas","Female","40","40","61190","60080"
"In post","2023","Unknown","Overseas","Male","25","25","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","180","180","38140","36860"
"In post","2023","Unknown","Unknown","Male","1535","1535","42370","40530"
"Leaver CS","2023","Analysis","London","Female","155","[c]","39740","36170"
"Leaver CS","2023","Analysis","London","Male","215","[c]","40610","33570"
"Leaver CS","2023","Analysis","Outside London","Female","180","[c]","33660","30760"
"Leaver CS","2023","Analysis","Outside London","Male","325","[c]","35060","31560"
"Leaver CS","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","London","Female","125","[c]","56510","54690"
"Leaver CS","2023","Commercial","London","Male","105","[c]","63350","56000"
"Leaver CS","2023","Commercial","Outside London","Female","190","[c]","41220","36390"
"Leaver CS","2023","Commercial","Outside London","Male","210","[c]","47280","42000"
"Leaver CS","2023","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","London","Female","175","[c]","44340","41780"
"Leaver CS","2023","Communications","London","Male","125","[c]","47030","40910"
"Leaver CS","2023","Communications","Outside London","Female","85","[c]","37460","34370"
"Leaver CS","2023","Communications","Outside London","Male","55","[c]","34580","31510"
"Leaver CS","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","London","Female","95","[c]","34770","32520"
"Leaver CS","2023","Counter Fraud","London","Male","125","[c]","41230","39000"
"Leaver CS","2023","Counter Fraud","Outside London","Female","355","[c]","27440","28020"
"Leaver CS","2023","Counter Fraud","Outside London","Male","325","[c]","27730","27570"
"Leaver CS","2023","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Outside London","Female","475","[c]","22400","21690"
"Leaver CS","2023","Debt","Outside London","Male","315","[c]","22840","21690"
"Leaver CS","2023","Debt","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","London","Female","260","[c]","48770","45630"
"Leaver CS","2023","Digital, Data & Technology","London","Male","395","[c]","50370","51330"
"Leaver CS","2023","Digital, Data & Technology","Outside London","Female","500","[c]","39340","37590"
"Leaver CS","2023","Digital, Data & Technology","Outside London","Male","1040","[c]","41600","38800"
"Leaver CS","2023","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","London","Female","115","[c]","47030","43570"
"Leaver CS","2023","Finance","London","Male","125","[c]","48590","43760"
