"Status","Year","Age","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","South Yorkshire","EO","[c]","[c]","[c]","[c]"
