"Status","Year","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","30","25","58010","55470"
"In post","2023","Attorney General's Departments","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","130","125","41590","33750"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","10","10","38920","25600"
"In post","2023","Attorney General's Departments","Birmingham","540","510","40770","38760"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","120","115","40800","30560"
"In post","2023","Attorney General's Departments","Bristol, City of","235","220","43730","49050"
"In post","2023","Attorney General's Departments","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Calderdale and Kirklees","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","20","20","42930","49050"
"In post","2023","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","235","215","41220","38760"
"In post","2023","Attorney General's Departments","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire East","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","30","25","37220","30020"
"In post","2023","Attorney General's Departments","Croydon","50","50","38550","32630"
"In post","2023","Attorney General's Departments","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon CC","110","105","40930","38940"
"In post","2023","Attorney General's Departments","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Ealing","[c]","[c]","[c]","[c]"
