"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","G6/G7","45","45","61790","58980"
"In post","2023","Declared disabled","Analysis","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","SEO/HEO","50","50","37140","35780"
"In post","2023","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
