"Status","Year","Age","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","Male","25","25","[c]","[c]"
"In post","2023","16-19","Economics","London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Female","15","10","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Male","20","20","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","Female","15","15","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","Male","10","10","[c]","[c]"
"In post","2023","16-19","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","Female","30","30","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","Male","30","30","26860","26400"
"In post","2023","16-19","Operational Delivery","Outside London","Female","470","445","23350","22520"
"In post","2023","16-19","Operational Delivery","Outside London","Male","370","355","23580","22520"
"In post","2023","16-19","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2023","16-19","Other","Outside London","Male","25","25","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Policy","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Policy","London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","Male","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2023","16-19","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Male","30","30","23040","22750"
"In post","2023","16-19","Psychology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Psychology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Female","20","20","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Male","95","95","19580","18780"
"In post","2023","16-19","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Female","45","40","22980","22520"
"In post","2023","16-19","Unknown","Outside London","Male","35","35","22930","22520"
"In post","2023","16-19","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","Female","170","165","41470","35940"
"In post","2023","20-29","Commercial","London","Male","140","140","41650","36610"
"In post","2023","20-29","Commercial","Outside London","Female","450","445","33240","31920"
"In post","2023","20-29","Commercial","Outside London","Male","370","370","32240","31400"
"In post","2023","20-29","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
