"Status","Year","Age","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","Operational Delivery","45","45","22720","22520"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Crown Prosecution Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","10","10","24260","21690"
"In post","2023","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Met Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Met Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Prison Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Submarine Delivery Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Defence Equipment and Support","Finance","15","15","19540","19460"
"In post","2023","16-19","Finance","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs (excl. agencies)","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Rural Payments Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Crown Prosecution Service","Operational Delivery","50","50","21210","20980"
"In post","2023","16-19","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Operational Delivery","10","10","23950","22430"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Crown Office and Procurator Fiscal Service","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","No function","Defence Electronics and Components Agency","Science and Engineering","10","10","17040","15780"
"In post","2023","16-19","No function","Defence Equipment and Support","Operational Delivery","20","20","19170","18780"
"In post","2023","16-19","No function","Defence Equipment and Support","Other","10","10","[c]","[c]"
"In post","2023","16-19","No function","Defence Equipment and Support","Science and Engineering","50","50","18960","18280"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Operational Delivery","40","40","22940","21690"
"In post","2023","16-19","No function","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","Operational Delivery","75","65","20560","19000"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","Operational Delivery","25","25","22110","21780"
"In post","2023","16-19","No function","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","Operational Delivery","305","300","26010","26350"
"In post","2023","16-19","No function","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Operational Delivery","70","70","23030","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Tax","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Unknown","20","20","23180","22520"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Operational Delivery","130","120","23700","22400"
"In post","2023","16-19","No function","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Operational Delivery","10","10","22080","22220"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Science and Engineering","5","5","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of the Public Guardian","Operational Delivery","10","5","[c]","[c]"
"In post","2023","16-19","No function","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","Operational Delivery","10","10","21150","21200"
"In post","2023","16-19","No function","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Building Digital UK","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Met Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","Science and Engineering","15","15","18580","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","Property","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Met Office","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Prison Service","Other","5","5","[c]","[c]"
"In post","2023","16-19","Property","Valuation Office Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Property","Valuation Office Agency","Property","15","15","23840","22520"
"In post","2023","16-19","Security","Cabinet Office (excl. agencies)","Unknown","10","10","25160","24470"
"In post","2023","16-19","Security","FCDO Services","Security","5","5","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","Science and Engineering","15","15","20980","19430"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Met Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Royal Fleet Auxiliary","Other","30","30","19370","17400"
"In post","2023","16-19","Unknown","Scottish Government (excl. agencies)","Unknown","15","15","22760","22760"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Security Scotland","Unknown","15","15","22720","22180"
"In post","2023","16-19","Unknown","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","Operational Research","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Central Civil Service Fast Stream","Statistics","100","100","31030","30130"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","75","75","27030","25970"
"In post","2023","20-29","Analysis","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Companies House","Statistics","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","Economics","35","35","42470","34620"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","Operational Research","70","70","32250","30650"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","Science and Engineering","225","225","33140","30650"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","115","115","35580","34670"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","40","40","46180","39880"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","10","10","43170","39620"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Economics","50","50","42870","43250"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Operational Research","30","30","39600","37870"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Social Research","45","45","43020","43250"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Statistics","50","50","41080","43250"
"In post","2023","20-29","Analysis","Department for International Trade","Economics","80","80","42410","35010"
"In post","2023","20-29","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Social Research","15","15","38710","35010"
"In post","2023","20-29","Analysis","Department for International Trade","Statistics","25","25","42510","41550"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","35","35","44800","51550"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","15","15","47750","49700"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","60","60","37820","34160"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Economics","110","110","43370","43320"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Social Research","15","15","45230","43320"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Statistics","30","30","39490","35760"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Economics","25","25","41480","39150"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Policy","85","85","37980","37380"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","20","20","42490","39150"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","60","55","35960","34170"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Economics","20","20","40140","34190"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","20","20","40010","38120"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
