"Status","Year","Age","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","15","15","27620","28510"
"In post","2023","16-19","Economics","North East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","15","15","19540","19460"
"In post","2023","16-19","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
