"Status","Year","Organisation","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","SEO","10","10","48060","49860"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","G7","10","10","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","SEO","15","15","39860","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","HEO","40","35","32820","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","SEO","10","10","41830","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","HEO","20","20","33370","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","AO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","EO","25","20","29820","30330"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","G7","20","20","61250","60400"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","HEO","65","60","38430","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","SEO","45","40","48180","48480"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","EO","55","50","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","G7","[c]","[c]","[c]","[c]"
