"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Communications","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Communications","London","EO","Female","130","125","30410","30060"
"In post","2023","Communications","London","EO","Male","70","70","30460","30210"
"In post","2023","Communications","London","G6/G7","Female","455","435","61130","59510"
"In post","2023","Communications","London","G6/G7","Male","270","270","61800","59290"
"In post","2023","Communications","London","SCS level","Female","55","55","90550","84770"
"In post","2023","Communications","London","SCS level","Male","60","60","96370","89000"
"In post","2023","Communications","London","SEO/HEO","Female","655","640","40950","41410"
"In post","2023","Communications","London","SEO/HEO","Male","460","455","41230","41480"
"In post","2023","Communications","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA/AO","Female","80","75","22270","22220"
"In post","2023","Communications","Outside London","AA/AO","Male","45","45","22850","22220"
"In post","2023","Communications","Outside London","EO","Female","180","165","27550","27450"
"In post","2023","Communications","Outside London","EO","Male","145","135","28010","27470"
"In post","2023","Communications","Outside London","G6/G7","Female","210","200","56660","55360"
"In post","2023","Communications","Outside London","G6/G7","Male","140","135","57180","55360"
"In post","2023","Communications","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Communications","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Communications","Outside London","SEO/HEO","Female","700","650","37170","37540"
"In post","2023","Communications","Outside London","SEO/HEO","Male","415","405","37280","37090"
"In post","2023","Communications","Outside London","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Outside London","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Communications","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","AA/AO","Female","290","245","25630","25610"
"In post","2023","Counter Fraud","London","AA/AO","Male","155","155","25750","25610"
"In post","2023","Counter Fraud","London","EO","Female","735","685","32440","32520"
"In post","2023","Counter Fraud","London","EO","Male","610","595","32520","32520"
"In post","2023","Counter Fraud","London","G6/G7","Female","140","130","65560","65230"
"In post","2023","Counter Fraud","London","G6/G7","Male","250","240","66980","65230"
"In post","2023","Counter Fraud","London","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","SEO/HEO","Female","635","610","41160","39790"
"In post","2023","Counter Fraud","London","SEO/HEO","Male","770","750","41600","39790"
"In post","2023","Counter Fraud","Outside London","AA/AO","Female","1155","945","22590","22520"
"In post","2023","Counter Fraud","Outside London","AA/AO","Male","675","640","22540","22520"
"In post","2023","Counter Fraud","Outside London","EO","Female","3485","3105","28450","28120"
"In post","2023","Counter Fraud","Outside London","EO","Male","2605","2475","28390","28120"
"In post","2023","Counter Fraud","Outside London","G6/G7","Female","345","325","59570","57970"
"In post","2023","Counter Fraud","Outside London","G6/G7","Male","555","530","60650","57970"
"In post","2023","Counter Fraud","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","Female","2310","2155","36680","35000"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","Male","2360","2285","37000","35000"
"In post","2023","Counter Fraud","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","AA/AO","Female","280","245","26720","26920"
"In post","2023","Debt","London","AA/AO","Male","155","145","26770","26920"
"In post","2023","Debt","London","EO","Female","90","75","32860","32540"
"In post","2023","Debt","London","EO","Male","70","65","32530","32540"
"In post","2023","Debt","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2023","Debt","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Debt","Outside London","AA/AO","Female","3330","2830","22270","22520"
"In post","2023","Debt","Outside London","AA/AO","Male","2165","2070","22280","22520"
"In post","2023","Debt","Outside London","EO","Female","700","620","28310","28120"
"In post","2023","Debt","Outside London","EO","Male","515","495","28340","28120"
"In post","2023","Debt","Outside London","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Debt","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Debt","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Outside London","SEO/HEO","Female","225","205","36370","35000"
"In post","2023","Debt","Outside London","SEO/HEO","Male","140","135","36740","35000"
"In post","2023","Debt","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","AA/AO","Female","45","40","26020","26550"
"In post","2023","Digital, Data & Technology","London","AA/AO","Male","60","60","26140","26560"
"In post","2023","Digital, Data & Technology","London","EO","Female","230","220","30550","29890"
"In post","2023","Digital, Data & Technology","London","EO","Male","340","335","30870","30560"
"In post","2023","Digital, Data & Technology","London","G6/G7","Female","845","820","61660","59290"
"In post","2023","Digital, Data & Technology","London","G6/G7","Male","1390","1375","63240","61850"
"In post","2023","Digital, Data & Technology","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","SCS level","Female","60","60","96550","88500"
"In post","2023","Digital, Data & Technology","London","SCS level","Male","110","110","102680","97250"
"In post","2023","Digital, Data & Technology","London","SEO/HEO","Female","1055","1025","40370","41160"
"In post","2023","Digital, Data & Technology","London","SEO/HEO","Male","1425","1410","41190","41440"
"In post","2023","Digital, Data & Technology","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","AA/AO","Female","345","320","22360","22220"
"In post","2023","Digital, Data & Technology","Outside London","AA/AO","Male","435","430","22320","22220"
"In post","2023","Digital, Data & Technology","Outside London","EO","Female","1300","1200","27870","27740"
"In post","2023","Digital, Data & Technology","Outside London","EO","Male","2095","2035","28190","28080"
"In post","2023","Digital, Data & Technology","Outside London","G6/G7","Female","1845","1780","56450","54470"
"In post","2023","Digital, Data & Technology","Outside London","G6/G7","Male","3595","3550","58490","57000"
"In post","2023","Digital, Data & Technology","Outside London","SCS level","Female","75","75","89640","81010"
"In post","2023","Digital, Data & Technology","Outside London","SCS level","Male","145","145","95600","91750"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","Female","3940","3755","37320","37590"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","Male","6800","6680","38590","38340"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","Unknown","Female","30","30","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","Unknown","Male","65","65","37010","37740"
"In post","2023","Digital, Data & Technology","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","EO","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","EO","Male","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","SEO/HEO","Male","35","35","42080","41110"
"In post","2023","Digital, Data & Technology","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Finance","London","AA/AO","Female","75","65","26410","26920"
"In post","2023","Finance","London","AA/AO","Male","45","45","25960","25610"
"In post","2023","Finance","London","EO","Female","215","205","30920","31030"
"In post","2023","Finance","London","EO","Male","160","155","30860","31020"
"In post","2023","Finance","London","G6/G7","Female","500","480","63090","61530"
"In post","2023","Finance","London","G6/G7","Male","615","610","64490","63310"
"In post","2023","Finance","London","SCS level","Female","80","75","88750","83420"
"In post","2023","Finance","London","SCS level","Male","105","105","94710","86460"
"In post","2023","Finance","London","SEO/HEO","Female","680","660","40830","40060"
"In post","2023","Finance","London","SEO/HEO","Male","680","670","41670","41950"
"In post","2023","Finance","Outside London","AA/AO","Female","1200","975","22670","22520"
"In post","2023","Finance","Outside London","AA/AO","Male","635","595","22620","22520"
"In post","2023","Finance","Outside London","EO","Female","1055","975","27660","27650"
"In post","2023","Finance","Outside London","EO","Male","575","570","27740","27890"
"In post","2023","Finance","Outside London","G6/G7","Female","920","885","57690","56590"
"In post","2023","Finance","Outside London","G6/G7","Male","880","860","58480","57590"
"In post","2023","Finance","Outside London","SCS level","Female","65","65","87030","78850"
"In post","2023","Finance","Outside London","SCS level","Male","85","85","92030","81330"
"In post","2023","Finance","Outside London","SEO/HEO","Female","2335","2200","37690","37530"
"In post","2023","Finance","Outside London","SEO/HEO","Male","1845","1805","38080","37680"
"In post","2023","Finance","Outside London","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Finance","Outside London","Unknown","Male","35","35","56160","49410"
"In post","2023","Finance","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2023","Finance","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Finance","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Finance","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Finance","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Grants Management","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Grants Management","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Grants Management","London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Grants Management","Outside London","AA/AO","Female","805","695","22120","22150"
"In post","2023","Grants Management","Outside London","AA/AO","Male","615","600","22140","22150"
"In post","2023","Grants Management","Outside London","EO","Female","395","360","26080","25920"
"In post","2023","Grants Management","Outside London","EO","Male","250","245","26120","25920"
"In post","2023","Grants Management","Outside London","G6/G7","Female","40","40","52440","49970"
"In post","2023","Grants Management","Outside London","G6/G7","Male","35","30","53960","50740"
"In post","2023","Grants Management","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Grants Management","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","Outside London","SEO/HEO","Female","225","210","32900","30930"
"In post","2023","Grants Management","Outside London","SEO/HEO","Male","175","170","33820","32040"
"In post","2023","Human Resources","London","AA/AO","Female","50","45","25980","26070"
"In post","2023","Human Resources","London","AA/AO","Male","35","35","26500","26400"
"In post","2023","Human Resources","London","EO","Female","305","290","30480","30130"
"In post","2023","Human Resources","London","EO","Male","160","155","30550","30120"
"In post","2023","Human Resources","London","G6/G7","Female","705","685","62260","60390"
"In post","2023","Human Resources","London","G6/G7","Male","320","315","62540","60780"
"In post","2023","Human Resources","London","SCS level","Female","105","100","90220","82170"
"In post","2023","Human Resources","London","SCS level","Male","55","55","92000","85000"
"In post","2023","Human Resources","London","SEO/HEO","Female","925","885","39920","39150"
"In post","2023","Human Resources","London","SEO/HEO","Male","405","400","40660","39530"
"In post","2023","Human Resources","London","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Human Resources","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Outside London","AA/AO","Female","840","760","22460","22220"
"In post","2023","Human Resources","Outside London","AA/AO","Male","320","315","22200","22220"
"In post","2023","Human Resources","Outside London","EO","Female","1615","1490","27620","27650"
"In post","2023","Human Resources","Outside London","EO","Male","1490","1450","29020","28120"
"In post","2023","Human Resources","Outside London","G6/G7","Female","1160","1110","56650","55410"
"In post","2023","Human Resources","Outside London","G6/G7","Male","545","540","57610","56180"
"In post","2023","Human Resources","Outside London","SCS level","Female","75","70","88440","81820"
"In post","2023","Human Resources","Outside London","SCS level","Male","35","35","86390","80000"
"In post","2023","Human Resources","Outside London","SEO/HEO","Female","3040","2875","36640","35000"
"In post","2023","Human Resources","Outside London","SEO/HEO","Male","1855","1815","37740","36560"
"In post","2023","Human Resources","Outside London","Unknown","Female","60","55","38590","38290"
"In post","2023","Human Resources","Outside London","Unknown","Male","35","30","36260","30590"
"In post","2023","Human Resources","Overseas","EO","Female","15","15","[c]","[c]"
"In post","2023","Human Resources","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Overseas","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Human Resources","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Human Resources","Overseas","SEO/HEO","Female","140","135","53950","55970"
"In post","2023","Human Resources","Overseas","SEO/HEO","Male","60","60","57580","58220"
"In post","2023","Human Resources","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","Internal Audit","London","G6/G7","Male","40","40","62830","61470"
"In post","2023","Internal Audit","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","London","SEO/HEO","Female","50","45","44030","43230"
"In post","2023","Internal Audit","London","SEO/HEO","Male","55","50","44270","43350"
"In post","2023","Internal Audit","Outside London","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","Outside London","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","Outside London","EO","Female","20","20","[c]","[c]"
"In post","2023","Internal Audit","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","Outside London","G6/G7","Female","75","70","58280","57060"
"In post","2023","Internal Audit","Outside London","G6/G7","Male","75","75","57120","56100"
"In post","2023","Internal Audit","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Internal Audit","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","Outside London","SEO/HEO","Female","190","175","40490","41660"
"In post","2023","Internal Audit","Outside London","SEO/HEO","Male","120","115","41640","42510"
"In post","2023","Internal Audit","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Legal","London","AA/AO","Female","290","265","24450","24480"
"In post","2023","Legal","London","AA/AO","Male","155","155","24640","24480"
"In post","2023","Legal","London","EO","Female","585","550","29790","29290"
"In post","2023","Legal","London","EO","Male","250","245","29880","29960"
"In post","2023","Legal","London","G6/G7","Female","1980","1810","62550","63390"
"In post","2023","Legal","London","G6/G7","Male","1050","1015","64450","65520"
"In post","2023","Legal","London","SCS level","Female","210","195","88500","81860"
"In post","2023","Legal","London","SCS level","Male","165","165","92340","86460"
"In post","2023","Legal","London","SEO/HEO","Female","355","345","39010","39450"
"In post","2023","Legal","London","SEO/HEO","Male","245","240","39510","39790"
"In post","2023","Legal","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Outside London","AA/AO","Female","995","895","22920","22870"
"In post","2023","Legal","Outside London","AA/AO","Male","390","380","22790","22870"
"In post","2023","Legal","Outside London","EO","Female","1065","970","28110","28130"
"In post","2023","Legal","Outside London","EO","Male","385","375","28220","28130"
"In post","2023","Legal","Outside London","G6/G7","Female","2370","2145","58130","56450"
"In post","2023","Legal","Outside London","G6/G7","Male","1430","1370","59350","56870"
"In post","2023","Legal","Outside London","SCS level","Female","60","60","88700","85200"
"In post","2023","Legal","Outside London","SCS level","Male","50","50","90350","85510"
