"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Economics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","AO","45","40","22320","22520"
"In post","2023","16-19","Asian","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","HEO","[c]","[c]","[c]","[c]"
