"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","G7","10","10","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","HEO","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","EO","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","G7","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","HEO","10","10","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","SEO","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","G6","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","G7","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","HEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","SEO","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","HEO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Communications","SEO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","AO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","EO","50","45","29080","28120"
"In post","2023","40-49","Undeclared","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","HEO","30","30","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Counter Fraud","SEO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","EO","40","40","29240","28120"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","G6","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","G7","75","75","57580","56430"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","HEO","45","45","35430","34860"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","SEO","95","90","43940","42460"
"In post","2023","40-49","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Economics","G7","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","AO","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","EO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","G6","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","G7","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","HEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Finance","SEO","30","30","44260","42690"
"In post","2023","40-49","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Geography","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","AO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","EO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","G6","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","G7","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","HEO","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","SEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Inspector of Education and Training","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Inspector of Education and Training","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","EO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","HEO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Intelligence Analysis","SEO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","International Trade","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","EO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","EO","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","G6","30","30","72220","68950"
"In post","2023","40-49","Undeclared","Legal","G7","45","40","57990","57210"
"In post","2023","40-49","Undeclared","Legal","HEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","SEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","G6","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Delivery","AA","40","35","22150","22750"
"In post","2023","40-49","Undeclared","Operational Delivery","AO","640","580","23810","22400"
"In post","2023","40-49","Undeclared","Operational Delivery","EO","820","765","29340","28120"
"In post","2023","40-49","Undeclared","Operational Delivery","G6","30","30","68450","67060"
"In post","2023","40-49","Undeclared","Operational Delivery","G7","75","75","58350","57420"
"In post","2023","40-49","Undeclared","Operational Delivery","HEO","320","310","35220","34170"
"In post","2023","40-49","Undeclared","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Delivery","SEO","160","160","44890","42510"
"In post","2023","40-49","Undeclared","Operational Delivery","Unknown","125","120","34120","35030"
"In post","2023","40-49","Undeclared","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Research","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","AA","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","AO","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","EO","35","35","29080","28120"
"In post","2023","40-49","Undeclared","Other","G6","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","G7","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","HEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Other","SEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Policy","EO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Policy","G6","55","55","68620","68570"
"In post","2023","40-49","Undeclared","Policy","G7","80","75","56900","56980"
"In post","2023","40-49","Undeclared","Policy","HEO","50","50","35790","35520"
"In post","2023","40-49","Undeclared","Policy","SCS level","30","30","89170","81140"
"In post","2023","40-49","Undeclared","Policy","SEO","60","60","43320","43210"
"In post","2023","40-49","Undeclared","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Project Delivery","EO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Project Delivery","G6","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Project Delivery","G7","65","60","55440","56180"
"In post","2023","40-49","Undeclared","Project Delivery","HEO","35","35","34540","34700"
"In post","2023","40-49","Undeclared","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Project Delivery","SEO","60","55","42690","42320"
"In post","2023","40-49","Undeclared","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","EO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","G7","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","HEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Property","SEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","G6","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","G7","80","75","55030","53630"
"In post","2023","40-49","Undeclared","Science and Engineering","HEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Science and Engineering","SEO","60","60","42650","41960"
"In post","2023","40-49","Undeclared","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","AA","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","AO","40","40","38500","40880"
"In post","2023","40-49","Undeclared","Security","EO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","G7","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","HEO","20","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","SEO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Statistics","G7","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Statistics","SEO","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Tax","EO","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Tax","G6","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Tax","G7","35","35","58000","57970"
"In post","2023","40-49","Undeclared","Tax","HEO","65","65","35990","35000"
"In post","2023","40-49","Undeclared","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Tax","SEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","AA","5","5","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","AO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","EO","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","G6","15","15","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","G7","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","HEO","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","SEO","25","25","[c]","[c]"
"In post","2023","40-49","Undeclared","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Undeclared","Veterinarian","SEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","AO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","G6","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","G7","35","35","55180","55200"
"In post","2023","40-49","Unknown","Commercial","HEO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","SCS level","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Commercial","SEO","40","40","40810","40760"
"In post","2023","40-49","Unknown","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","EO","10","5","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","G6","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","G7","40","40","55710","55370"
"In post","2023","40-49","Unknown","Communications","HEO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","SCS level","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Communications","SEO","40","35","43030","42140"
"In post","2023","40-49","Unknown","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Counter Fraud","AO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Counter Fraud","EO","90","85","29370","28130"
"In post","2023","40-49","Unknown","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Counter Fraud","G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Counter Fraud","HEO","50","50","36710","35000"
"In post","2023","40-49","Unknown","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Counter Fraud","SEO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Digital, Data and Technology","AO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Digital, Data and Technology","EO","90","90","28840","28120"
"In post","2023","40-49","Unknown","Digital, Data and Technology","G6","95","90","70890","70840"
"In post","2023","40-49","Unknown","Digital, Data and Technology","G7","250","250","57950","57000"
"In post","2023","40-49","Unknown","Digital, Data and Technology","HEO","155","155","34720","34400"
"In post","2023","40-49","Unknown","Digital, Data and Technology","SCS level","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Digital, Data and Technology","SEO","210","205","43350","42580"
"In post","2023","40-49","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Economics","G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Finance","AO","30","25","23480","22700"
"In post","2023","40-49","Unknown","Finance","EO","30","30","28570","28120"
"In post","2023","40-49","Unknown","Finance","G6","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Finance","G7","45","45","55670","56060"
"In post","2023","40-49","Unknown","Finance","HEO","35","35","34810","34700"
"In post","2023","40-49","Unknown","Finance","SCS level","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Finance","SEO","70","70","42430","42140"
"In post","2023","40-49","Unknown","Geography","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Geography","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Geography","HEO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Geography","SEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Human Resources","AA","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Human Resources","AO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Human Resources","EO","70","65","28680","28080"
"In post","2023","40-49","Unknown","Human Resources","G6","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Human Resources","G7","45","45","57690","55780"
"In post","2023","40-49","Unknown","Human Resources","HEO","150","145","45830","39360"
"In post","2023","40-49","Unknown","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Human Resources","SEO","55","55","42120","41840"
"In post","2023","40-49","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Inspector of Education and Training","G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Inspector of Education and Training","SEO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","EO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Intelligence Analysis","SEO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","G6","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","G7","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","International Trade","SEO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Knowledge and Information Management","G6","5","5","[c]","[c]"
