"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","AA/AO","35","35","20650","19560"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Electronics and Components Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","AA/AO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
