"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Economics","EO","10","[c]","27290","26900"
"Leaver CS","2023","Economics","G6","10","[c]","72960","65150"
"Leaver CS","2023","Economics","G7","40","[c]","56200","54920"
"Leaver CS","2023","Economics","HEO","55","[c]","33730","33570"
"Leaver CS","2023","Economics","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Economics","SEO","20","[c]","43920","41770"
"Leaver CS","2023","Finance","AA","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","AO","85","[c]","22840","22220"
"Leaver CS","2023","Finance","EO","140","[c]","27260","27330"
"Leaver CS","2023","Finance","G6","55","[c]","69620","69050"
"Leaver CS","2023","Finance","G7","115","[c]","56610","55740"
"Leaver CS","2023","Finance","HEO","170","[c]","34590","34170"
"Leaver CS","2023","Finance","SCS level","20","[c]","98740","99570"
"Leaver CS","2023","Finance","SEO","170","[c]","43740","42910"
"Leaver CS","2023","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Geography","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","AA","60","[c]","20940","20750"
"Leaver CS","2023","Human Resources","AO","315","[c]","22230","22220"
"Leaver CS","2023","Human Resources","EO","315","[c]","28360","27560"
"Leaver CS","2023","Human Resources","G6","55","[c]","70180","67100"
"Leaver CS","2023","Human Resources","G7","120","[c]","56160","55410"
"Leaver CS","2023","Human Resources","HEO","300","[c]","36370","34300"
"Leaver CS","2023","Human Resources","SCS level","25","[c]","92150","85000"
"Leaver CS","2023","Human Resources","SEO","140","[c]","43240","41800"
"Leaver CS","2023","Human Resources","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Inspector of Education and Training","G6","25","[c]","84700","87570"
"Leaver CS","2023","Inspector of Education and Training","G7","65","[c]","76040","77470"
"Leaver CS","2023","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Inspector of Education and Training","SEO","55","[c]","51140","52750"
"Leaver CS","2023","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","EO","90","[c]","28480","28640"
"Leaver CS","2023","Intelligence Analysis","G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","HEO","50","[c]","36700","37000"
"Leaver CS","2023","Intelligence Analysis","SEO","25","[c]","43590","43560"
"Leaver CS","2023","Internal Audit","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","G6","5","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","HEO","15","[c]","33990","33830"
"Leaver CS","2023","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","SEO","35","[c]","43640","43160"
"Leaver CS","2023","International Trade","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","G6","5","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","G7","35","[c]","54760","54840"
"Leaver CS","2023","International Trade","HEO","25","[c]","32630","31800"
"Leaver CS","2023","International Trade","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","International Trade","SEO","30","[c]","39130","38160"
"Leaver CS","2023","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","AO","25","[c]","22460","21780"
"Leaver CS","2023","Knowledge and Information Management","EO","30","[c]","28110","27530"
"Leaver CS","2023","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","HEO","25","[c]","33120","33100"
"Leaver CS","2023","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Knowledge and Information Management","SEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Legal","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","AO","25","[c]","[c]","[c]"
"Leaver CS","2023","Legal","EO","125","[c]","28570","27760"
"Leaver CS","2023","Legal","G6","125","[c]","70550","69440"
"Leaver CS","2023","Legal","G7","310","[c]","56220","55000"
"Leaver CS","2023","Legal","HEO","110","[c]","36120","34260"
"Leaver CS","2023","Legal","SCS level","30","[c]","91320","86030"
"Leaver CS","2023","Legal","SEO","140","[c]","42210","41340"
"Leaver CS","2023","Medicine","AA","10","[c]","[c]","[c]"
"Leaver CS","2023","Medicine","AO","40","[c]","24490","24680"
"Leaver CS","2023","Medicine","EO","50","[c]","33370","32930"
"Leaver CS","2023","Medicine","G6","50","[c]","80720","82020"
"Leaver CS","2023","Medicine","G7","35","[c]","62900","58550"
"Leaver CS","2023","Medicine","HEO","110","[c]","38610","40590"
"Leaver CS","2023","Medicine","SCS level","50","[c]","106210","106560"
"Leaver CS","2023","Medicine","SEO","35","[c]","45210","47470"
"Leaver CS","2023","Operational Delivery","AA","1760","[c]","20200","19930"
"Leaver CS","2023","Operational Delivery","AO","11665","[c]","22330","21780"
"Leaver CS","2023","Operational Delivery","EO","7095","[c]","28560","28120"
"Leaver CS","2023","Operational Delivery","G6","235","[c]","67200","66230"
"Leaver CS","2023","Operational Delivery","G7","515","[c]","54920","53610"
"Leaver CS","2023","Operational Delivery","HEO","1515","[c]","34170","33790"
"Leaver CS","2023","Operational Delivery","SCS level","135","[c]","96890","91840"
"Leaver CS","2023","Operational Delivery","SEO","940","[c]","41990","41000"
"Leaver CS","2023","Operational Delivery","Unknown","1855","[c]","37860","29050"
"Leaver CS","2023","Operational Research","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","G7","15","[c]","57650","57030"
"Leaver CS","2023","Operational Research","HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","SEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Other","AA","180","[c]","20160","19770"
"Leaver CS","2023","Other","AO","505","[c]","22270","21690"
"Leaver CS","2023","Other","EO","195","[c]","28290","28120"
"Leaver CS","2023","Other","G6","40","[c]","77280","70670"
"Leaver CS","2023","Other","G7","90","[c]","53340","53030"
"Leaver CS","2023","Other","HEO","150","[c]","34770","34280"
"Leaver CS","2023","Other","SCS level","30","[c]","113630","98390"
"Leaver CS","2023","Other","SEO","100","[c]","42360","41030"
"Leaver CS","2023","Other","Unknown","200","[c]","36830","33920"
"Leaver CS","2023","Planning","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning","HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectors","G6","15","[c]","67200","64280"
"Leaver CS","2023","Planning Inspectors","G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Policy","AA","25","[c]","18330","18300"
"Leaver CS","2023","Policy","AO","130","[c]","22940","22500"
"Leaver CS","2023","Policy","EO","245","[c]","27320","27840"
"Leaver CS","2023","Policy","G6","190","[c]","67290","66000"
"Leaver CS","2023","Policy","G7","470","[c]","54980","53600"
"Leaver CS","2023","Policy","HEO","485","[c]","34320","33820"
"Leaver CS","2023","Policy","SCS level","110","[c]","92350","80490"
"Leaver CS","2023","Policy","SEO","375","[c]","41770","41200"
"Leaver CS","2023","Policy","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","AO","40","[c]","22430","22500"
"Leaver CS","2023","Project Delivery","EO","105","[c]","26910","27050"
"Leaver CS","2023","Project Delivery","G6","115","[c]","69210","68560"
"Leaver CS","2023","Project Delivery","G7","235","[c]","54340","54540"
"Leaver CS","2023","Project Delivery","HEO","300","[c]","33480","33120"
"Leaver CS","2023","Project Delivery","SCS level","30","[c]","102220","91170"
"Leaver CS","2023","Project Delivery","SEO","330","[c]","41800","41200"
"Leaver CS","2023","Project Delivery","Unknown","45","[c]","41470","39980"
"Leaver CS","2023","Property","AA","60","[c]","19230","19010"
"Leaver CS","2023","Property","AO","50","[c]","22510","22220"
"Leaver CS","2023","Property","EO","105","[c]","27500","27000"
"Leaver CS","2023","Property","G6","15","[c]","69390","69940"
"Leaver CS","2023","Property","G7","40","[c]","57600","57150"
"Leaver CS","2023","Property","HEO","110","[c]","34190","33990"
"Leaver CS","2023","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","SEO","130","[c]","44980","45000"
"Leaver CS","2023","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Psychology","AO","15","[c]","[c]","[c]"
"Leaver CS","2023","Psychology","EO","45","[c]","[c]","[c]"
"Leaver CS","2023","Psychology","G6","[c]","[c]","[c]","[c]"
