"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Inner London - West","10","10","27820","28510"
"In post","2023","16-19","Analysis","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","22970","23340"
"In post","2023","16-19","Analysis","Social Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Southern Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","West Yorkshire","15","15","22520","22520"
"In post","2023","16-19","Debt","Other","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Other","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Other","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Other","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Tax","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Devon","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Greater Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Other","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Project Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","19540","19460"
"In post","2023","16-19","Finance","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","West Midlands","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","West Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","Communications","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","15","15","23030","23230"
"In post","2023","16-19","No function","Operational Delivery","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Cumbria","5","5","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Derbyshire and Nottinghamshire","30","30","24970","23230"
"In post","2023","16-19","No function","Operational Delivery","Devon","5","5","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Dorset and Somerset","5","5","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","East Anglia","40","35","24450","23230"
"In post","2023","16-19","No function","Operational Delivery","East Wales","25","25","23290","22520"
"In post","2023","16-19","No function","Operational Delivery","East Yorkshire and Northern Lincolnshire","15","15","26220","28880"
"In post","2023","16-19","No function","Operational Delivery","Eastern Scotland","15","15","23530","23700"
