"Status","Year","Function_of_post","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Female","Unknown","35","35","29690","29480"
"In post","2023","Analysis","Cabinet Office","Male","Heterosexual / straight","35","35","38350","32960"
"In post","2023","Analysis","Cabinet Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Male","Unknown","35","35","29800","28840"
"In post","2023","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Female","Heterosexual / straight","65","60","69310","67430"
"In post","2023","Analysis","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Male","Heterosexual / straight","100","95","71250","65800"
"In post","2023","Analysis","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Heterosexual / straight","35","30","66840","58050"
"In post","2023","Analysis","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Heterosexual / straight","75","70","61670","55950"
"In post","2023","Analysis","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","100","95","43310","38490"
