"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derby","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AA","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AO","Heterosexual / straight","245","210","23310","21690"
"In post","2023","East Midlands (England)","Derby","AO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AO","Undeclared","45","35","21860","21690"
"In post","2023","East Midlands (England)","Derby","AO","Unknown","105","90","23610","21690"
"In post","2023","East Midlands (England)","Derby","EO","Heterosexual / straight","225","200","28250","28120"
"In post","2023","East Midlands (England)","Derby","EO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","EO","Unknown","55","50","28010","28120"
"In post","2023","East Midlands (England)","Derby","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","HEO","Heterosexual / straight","40","35","34700","34170"
"In post","2023","East Midlands (England)","Derby","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO","Unknown","10","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","Unknown","Heterosexual / straight","200","185","30150","29050"
