"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO","10","10","40030","39430"
"In post","2023","Active Travel England","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","HEO","10","10","35220","36280"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G7","10","10","61140","61400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","15","15","36020","36110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","25","25","47490","47200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G7","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","5","5","[c]","[c]"
