"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","London","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","London","80","80","31050","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Outside London","35","35","31350","32960"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","45","40","37820","31050"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","450","435","35610","30820"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","London","[c]","[c]","[c]","[c]"
