"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","AA/AO","AO","15","15","23410","23340"
"In post","2023","16-19","Analysis","EO","EO","40","40","26610","25660"
"In post","2023","16-19","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","AA/AO","AO","55","55","22550","22520"
"In post","2023","16-19","Digital, Data & Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","AA/AO","AO","15","15","22320","21690"
"In post","2023","16-19","Digital, Data & Technology","EO","EO","15","15","27830","28120"
"In post","2023","16-19","Digital, Data & Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Finance","AA/AO","AO","30","30","21630","21160"
"In post","2023","16-19","Finance","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","AO","15","15","22050","22220"
"In post","2023","16-19","Human Resources","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","AA/AO","AO","55","55","21130","20980"
"In post","2023","16-19","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","AA/AO","AA","185","175","21710","23230"
"In post","2023","16-19","No function","AA/AO","AO","630","610","23860","22500"
"In post","2023","16-19","No function","EO","EO","70","70","27080","26000"
"In post","2023","16-19","No function","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Unknown","35","30","20180","19090"
"In post","2023","16-19","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA/AO","AO","10","10","20620","19750"
"In post","2023","16-19","Project Delivery","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Unknown","20","20","18750","18280"
"In post","2023","16-19","Property","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","AO","20","20","22340","22520"
"In post","2023","16-19","Property","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Unknown","15","15","23420","22750"
"In post","2023","16-19","Security","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","EO","10","10","25540","24610"
"In post","2023","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","AA","50","50","22170","22180"
"In post","2023","16-19","Unknown","AA/AO","AO","35","35","23040","22150"
"In post","2023","16-19","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19860","17650"
"In post","2023","20-29","Analysis","AA/AO","AA","25","25","22890","23500"
"In post","2023","20-29","Analysis","AA/AO","AO","125","120","22920","22440"
"In post","2023","20-29","Analysis","EO","EO","415","415","27980","28120"
"In post","2023","20-29","Analysis","G6/G7","G6","20","20","66560","67390"
"In post","2023","20-29","Analysis","G6/G7","G7","465","465","56100","55500"
"In post","2023","20-29","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SEO/HEO","HEO","1780","1775","33930","34110"
"In post","2023","20-29","Analysis","SEO/HEO","SEO","865","855","41750","41780"
"In post","2023","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","AO","105","105","23760","22390"
"In post","2023","20-29","Commercial","EO","EO","240","235","27340","27140"
"In post","2023","20-29","Commercial","G6/G7","G6","15","15","71720","71250"
"In post","2023","20-29","Commercial","G6/G7","G7","115","115","59440","56200"
"In post","2023","20-29","Commercial","SEO/HEO","HEO","450","450","33000","32800"
"In post","2023","20-29","Commercial","SEO/HEO","SEO","245","245","41040","41880"
"In post","2023","20-29","Commercial","Unknown","Unknown","30","30","31730","28490"
"In post","2023","20-29","Communications","AA/AO","AO","40","40","23670","22520"
"In post","2023","20-29","Communications","EO","EO","155","155","28130","28070"
"In post","2023","20-29","Communications","G6/G7","G7","55","55","55490","55720"
"In post","2023","20-29","Communications","SEO/HEO","HEO","390","390","35260","35010"
"In post","2023","20-29","Communications","SEO/HEO","SEO","200","200","42780","42180"
"In post","2023","20-29","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AA/AO","AO","300","295","23320","22520"
"In post","2023","20-29","Counter Fraud","EO","EO","1175","1165","29150","28120"
"In post","2023","20-29","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6/G7","G7","40","40","58420","56870"
"In post","2023","20-29","Counter Fraud","SEO/HEO","HEO","420","415","35680","34700"
"In post","2023","20-29","Counter Fraud","SEO/HEO","SEO","65","65","41940","42140"
"In post","2023","20-29","Debt","AA/AO","AO","1515","1465","22640","22520"
"In post","2023","20-29","Debt","EO","EO","175","170","28090","28120"
"In post","2023","20-29","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","SEO/HEO","HEO","25","25","34530","34400"
"In post","2023","20-29","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA/AO","AA","35","35","19960","19080"
"In post","2023","20-29","Digital, Data & Technology","AA/AO","AO","210","210","22510","22220"
"In post","2023","20-29","Digital, Data & Technology","EO","EO","1060","1045","27870","27650"
"In post","2023","20-29","Digital, Data & Technology","G6/G7","G6","25","25","66680","66860"
"In post","2023","20-29","Digital, Data & Technology","G6/G7","G7","365","365","54820","55020"
"In post","2023","20-29","Digital, Data & Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","HEO","1415","1405","33940","34170"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","SEO","870","870","41370","41480"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Unknown","25","25","28810","24750"
"In post","2023","20-29","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
