"Status","Year","Function_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","50","50","41570","37140"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","Heterosexual / straight","65","65","45460","39430"
"In post","2023","Analysis","Birmingham","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Birmingham","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Heterosexual / straight","165","155","42590","40650"
"In post","2023","Analysis","Bristol, City of","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","Bromley","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bromley","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","Heterosexual / straight","140","130","73330","68110"
"In post","2023","Analysis","Camden and City of London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Central Bedfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","Heterosexual / straight","390","375","45930","49260"
"In post","2023","Analysis","Central Hampshire","LGBO","30","30","39160","39890"
"In post","2023","Analysis","Central Hampshire","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","Unknown","125","120","44650","49260"
"In post","2023","Analysis","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Valleys","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Heterosexual / straight","40","40","51500","49780"
"In post","2023","Analysis","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Conwy and Denbighshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Coventry","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Croydon","Heterosexual / straight","125","115","49580","45560"
"In post","2023","Analysis","Croydon","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Croydon","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Croydon","Unknown","35","35","38180","36120"
"In post","2023","Analysis","Darlington","Heterosexual / straight","115","110","37650","34750"
"In post","2023","Analysis","Darlington","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Darlington","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Darlington","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Dorset","Heterosexual / straight","60","55","37010","31190"
"In post","2023","Analysis","Dorset","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Dorset","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Dorset","Unknown","70","65","33640","30350"
"In post","2023","Analysis","Dudley","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dudley","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Durham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lothian and Midlothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Sussex CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Essex Thames Gateway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Essex Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Falkirk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Fermanagh and Omagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Fermanagh and Omagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Heterosexual / straight","60","60","42310","37000"
"In post","2023","Analysis","Glasgow City","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Heterosexual / straight","160","155","44800","41780"
"In post","2023","Analysis","Greater Manchester South West","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Unknown","40","40","39560","41780"
"In post","2023","Analysis","Gwent Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwent Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwynedd","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwynedd","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","Heterosexual / straight","135","130","50510","45560"
"In post","2023","Analysis","Hackney and Newham","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","Unknown","45","45","43230","39790"
"In post","2023","Analysis","Haringey and Islington","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Haringey and Islington","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Harrow and Hillingdon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Harrow and Hillingdon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Heart of Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, County of","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, County of","LGBO","[c]","[c]","[c]","[c]"
