"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","AA","35","30","22140","22200"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","AO","100","90","26430","25480"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","EO","235","210","30160","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","HEO","65","60","37020","37520"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","SEO","45","40","45520","44210"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","90","80","31650","30810"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","55","55","21960","21720"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","260","240","28070","25700"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","315","295","30300","28540"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","55","55","58440","57970"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","180","170","35880","34640"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","100","95","44660","43410"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","130","125","31780","29050"
"In post","2023","Declared disabled","Cheshire","AA/AO","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AA/AO","AO","150","130","24080","22150"
"In post","2023","Declared disabled","Cheshire","EO","EO","170","150","29230","28120"
"In post","2023","Declared disabled","Cheshire","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G6/G7","G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SEO/HEO","HEO","65","60","36150","34300"
"In post","2023","Declared disabled","Cheshire","SEO/HEO","SEO","50","50","42480","41250"
"In post","2023","Declared disabled","Cheshire","Unknown","Unknown","60","55","29490","27130"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA/AO","AO","90","80","21950","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","EO","85","75","28020","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO/HEO","HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AA/AO","AA","15","10","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AA/AO","AO","145","125","22420","22150"
"In post","2023","Declared disabled","Cumbria","EO","EO","85","75","27390","28090"
"In post","2023","Declared disabled","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","SEO/HEO","HEO","40","35","32490","31990"
"In post","2023","Declared disabled","Cumbria","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Unknown","Unknown","40","35","36790","32830"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","AA/AO","AA","60","55","22030","23230"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","AA/AO","AO","510","455","23850","22500"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","EO","EO","575","520","28060","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","G6/G7","G6","30","25","[c]","[c]"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","G6/G7","G7","110","105","56450","56870"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","SEO/HEO","HEO","320","300","34200","34700"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","SEO/HEO","SEO","180","175","42390","42140"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Unknown","Unknown","190","175","30170","29050"
"In post","2023","Declared disabled","Devon","AA/AO","AA","70","65","21510","21380"
"In post","2023","Declared disabled","Devon","AA/AO","AO","320","270","23910","22150"
"In post","2023","Declared disabled","Devon","EO","EO","350","315","28300","28120"
"In post","2023","Declared disabled","Devon","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Devon","G6/G7","G7","65","65","51740","49400"
"In post","2023","Declared disabled","Devon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Devon","SEO/HEO","HEO","170","155","34100","33850"
"In post","2023","Declared disabled","Devon","SEO/HEO","SEO","150","140","41450","39720"
"In post","2023","Declared disabled","Devon","Unknown","Unknown","95","85","31690","29050"
"In post","2023","Declared disabled","Dorset and Somerset","AA/AO","AA","40","35","21520","21270"
"In post","2023","Declared disabled","Dorset and Somerset","AA/AO","AO","190","175","24790","22220"
"In post","2023","Declared disabled","Dorset and Somerset","EO","EO","220","200","28460","28120"
"In post","2023","Declared disabled","Dorset and Somerset","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Dorset and Somerset","G6/G7","G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Dorset and Somerset","SCS level","SCS level","[c]","[c]","[c]","[c]"
