"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Crown Prosecution Service","G6/G7","325","305","57380","55170"
"In post","2023","Asian","Crown Prosecution Service","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","SEO/HEO","120","115","37240","38760"
"In post","2023","Asian","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","AA/AO","75","75","24540","24400"
"In post","2023","Asian","Defence Equipment and Support","EO","25","25","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","G6/G7","40","35","60080","58950"
"In post","2023","Asian","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","SEO/HEO","200","190","37610","35090"
"In post","2023","Asian","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","G6/G7","30","30","53400","49260"
"In post","2023","Asian","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","SEO/HEO","50","50","33970","31130"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","55","50","28700","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","225","225","59330","55880"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","340","340","38700","39400"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","60","55","56990","55100"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","50","50","37380","35770"
"In post","2023","Asian","Department for Education (excl. agencies)","AA/AO","10","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","EO","110","110","27790","26940"
"In post","2023","Asian","Department for Education (excl. agencies)","G6/G7","210","210","56770","55020"
"In post","2023","Asian","Department for Education (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","SEO/HEO","355","345","36530","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","55","55","27600","26640"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","95","90","55910","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","165","160","36250","35890"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","30","30","29210","29280"
"In post","2023","Asian","Department for International Trade","G6/G7","95","95","59140","56140"
"In post","2023","Asian","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SEO/HEO","170","170","39070","39450"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","35","35","29120","28850"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","90","90","57300","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","150","145","36610","36870"
"In post","2023","Asian","Department for Transport (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","EO","35","35","31120","31210"
"In post","2023","Asian","Department for Transport (excl. agencies)","G6/G7","120","120","60050","56680"
"In post","2023","Asian","Department for Transport (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","SEO/HEO","180","180","39380","38830"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","AA/AO","2310","1950","22510","21690"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","EO","4455","4065","29710","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","G6/G7","185","180","58310","55150"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","SEO/HEO","860","830","38040","38760"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","EO","35","35","28180","28770"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","G6/G7","90","85","57090","54690"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","SEO/HEO","130","125","37520","38120"
"In post","2023","Asian","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","AA/AO","100","85","21990","22500"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","EO","20","20","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","AA/AO","40","35","26080","24900"
"In post","2023","Asian","Driver and Vehicle Standards Agency","EO","85","80","29520","27960"
"In post","2023","Asian","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","SEO/HEO","35","30","35180","33350"
"In post","2023","Asian","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","EO","5","5","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","SEO/HEO","70","65","37040","37590"
"In post","2023","Asian","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","FCDO Services","EO","20","20","[c]","[c]"
"In post","2023","Asian","FCDO Services","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","10","10","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","45","45","37180","37720"
"In post","2023","Asian","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","EO","65","65","32260","31630"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","135","135","60910","58970"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","185","185","38420","38530"
"In post","2023","Asian","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","G6/G7","60","60","66770","66270"
"In post","2023","Asian","Government Commercial Organisation","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","SEO/HEO","55","50","40720","42700"
"In post","2023","Asian","Government Legal Department","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Government Legal Department","EO","70","65","28030","27760"
"In post","2023","Asian","Government Legal Department","G6/G7","210","195","59080","53670"
"In post","2023","Asian","Government Legal Department","SCS level","10","5","[c]","[c]"
"In post","2023","Asian","Government Legal Department","SEO/HEO","40","35","38080","38860"
"In post","2023","Asian","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Property Agency","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Property Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Government Property Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Property Agency","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","HM Courts and Tribunals Service","AA/AO","1030","895","22880","21780"
"In post","2023","Asian","HM Courts and Tribunals Service","EO","270","260","27890","29660"
"In post","2023","Asian","HM Courts and Tribunals Service","G6/G7","50","50","57400","55720"
"In post","2023","Asian","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Courts and Tribunals Service","SEO/HEO","330","315","38470","37680"
"In post","2023","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","AA/AO","65","60","23850","23390"
"In post","2023","Asian","HM Land Registry","EO","80","75","28890","28080"
"In post","2023","Asian","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SEO/HEO","65","60","38480","38410"
"In post","2023","Asian","HM Prison and Probation Service","AA/AO","750","720","29580","28880"
"In post","2023","Asian","HM Prison and Probation Service","EO","130","125","32830","31310"
"In post","2023","Asian","HM Prison and Probation Service","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","HM Prison and Probation Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Prison and Probation Service","SEO/HEO","325","290","42630","40660"
"In post","2023","Asian","HM Prison and Probation Service","Unknown","940","875","29500","27280"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","AA/AO","1830","1640","23150","22520"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","EO","1485","1415","29320","28130"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","G6/G7","620","605","63000","62770"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","SEO/HEO","2280","2220","38540","39110"
"In post","2023","Asian","HM Treasury (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","HM Treasury (excl. agencies)","EO","40","35","27740","28380"
"In post","2023","Asian","HM Treasury (excl. agencies)","G6/G7","90","90","57500","54440"
"In post","2023","Asian","HM Treasury (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","HM Treasury (excl. agencies)","SEO/HEO","90","90","35580","33820"
"In post","2023","Asian","Health and Safety Executive","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","EO","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","SEO/HEO","40","40","52120","45170"
"In post","2023","Asian","Home Office","AA/AO","1015","880","24380","23500"
"In post","2023","Asian","Home Office","EO","1830","1680","28860","29890"
"In post","2023","Asian","Home Office","G6/G7","360","355","62420","59510"
"In post","2023","Asian","Home Office","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Home Office","SEO/HEO","1325","1290","38330","36310"
"In post","2023","Asian","Home Office","Unknown","30","30","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","SEO/HEO","15","10","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","AA/AO","45","40","21860","21780"
"In post","2023","Asian","Legal Aid Agency","EO","20","20","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","SEO/HEO","15","10","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","AA/AO","10","5","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","EO","65","65","28320","28220"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","G6/G7","70","70","61120","55860"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","SCS level","15","10","[c]","[c]"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","130","130","38200","41190"
"In post","2023","Asian","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Met Office","EO","5","5","[c]","[c]"
"In post","2023","Asian","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Met Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Met Office","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","AA/AO","340","325","24740","22880"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","EO","170","165","30350","29540"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","G6/G7","115","110","66460","61440"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","SEO/HEO","405","400","40950","41000"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","AA/AO","35","35","23760","25480"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","EO","110","105","28630","29660"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","G6/G7","165","165","59610","58550"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","SEO/HEO","330","320","39110","37680"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","AA/AO","25","20","[c]","[c]"
"In post","2023","Asian","National Crime Agency","EO","140","135","35670","34670"
"In post","2023","Asian","National Crime Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","SEO/HEO","110","110","43910","42240"
"In post","2023","Asian","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","SCS level","[c]","[c]","[c]","[c]"
