"Status","Year","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Southern Scotland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","North Yorkshire","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","North Yorkshire","15","15","45350","40000"
"In post","2023","Active Travel England","Science and Engineering","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
