"Status","Year","Region_ITL2","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","AA/AO","320","305","27820","30880"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","EO","240","215","28450","28120"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","G6/G7","40","40","61380","56000"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","SEO/HEO","185","175","39210","38640"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Outside London","Unknown","115","105","29290","26840"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","AA/AO","130","125","22440","22220"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","EO","130","125","28890","28120"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","G6/G7","35","30","65830","66200"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","SEO/HEO","160","155","38430","37300"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","AA/AO","690","630","26860","25610"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","EO","815","755","31410","31280"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","G6/G7","370","355","61910","60220"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","SCS level","35","35","91260","89800"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","SEO/HEO","700","675","40850","40550"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","Unknown","225","210","31240","30110"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Outside London","AA/AO","105","90","21690","21780"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Outside London","EO","300","265","28150","28120"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Outside London","G6/G7","10","10","64650","65850"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Outside London","SEO/HEO","60","55","35860","34170"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Outside London","Unknown","105","95","29300","26840"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","AA/AO","895","845","29340","26400"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","EO","725","685","32590","31280"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","G6/G7","285","270","59850","57970"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","SCS level","20","20","85790","84910"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","SEO/HEO","685","655","39960","38540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","Unknown","240","230","30210","27390"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","AA/AO","505","480","27320","24270"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","EO","470","445","30100","29140"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","G6/G7","115","115","63550","59970"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","SCS level","10","10","92460","90520"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","SEO/HEO","515","490","39800","38420"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","Unknown","85","80","31160","31980"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","AA/AO","690","660","27020","25700"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","EO","530","500","29930","28540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","G6/G7","190","175","63020","60700"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","SCS level","15","15","109980","110430"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","SEO/HEO","560","540","40670","40300"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","Unknown","155","150","27760","24570"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","AA/AO","895","835","26540","23720"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","EO","500","470","30030","28120"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","G6/G7","250","235","61650","58690"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","SCS level","25","20","103360","102410"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","SEO/HEO","735","705","38540","37750"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","Unknown","195","175","32880","30280"
"In post","2023","Cheshire","Cheshire East","Outside London","AA/AO","460","425","25050","22780"
"In post","2023","Cheshire","Cheshire East","Outside London","EO","275","255","28320","28120"
"In post","2023","Cheshire","Cheshire East","Outside London","G6/G7","135","130","58000","56180"
"In post","2023","Cheshire","Cheshire East","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Cheshire","Cheshire East","Outside London","SEO/HEO","310","295","36930","34300"
"In post","2023","Cheshire","Cheshire East","Outside London","Unknown","120","110","29280","26840"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","AA/AO","120","110","21640","21690"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","EO","155","140","27760","28120"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","G6/G7","30","30","61610","59290"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","SEO/HEO","60","55","37760","34300"
"In post","2023","Cheshire","Cheshire West and Chester","Outside London","Unknown","160","150","29740","26840"
"In post","2023","Cheshire","Warrington","Outside London","AA/AO","720","650","26250","24910"
"In post","2023","Cheshire","Warrington","Outside London","EO","855","820","32950","32540"
"In post","2023","Cheshire","Warrington","Outside London","G6/G7","205","200","58390","57640"
"In post","2023","Cheshire","Warrington","Outside London","SCS level","10","10","91800","88510"
"In post","2023","Cheshire","Warrington","Outside London","SEO/HEO","780","760","41680","40660"
"In post","2023","Cheshire","Warrington","Outside London","Unknown","90","85","29800","27530"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","AA/AO","640","575","21760","21690"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","EO","565","515","27860","28120"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","G6/G7","95","90","60370","56450"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","SEO/HEO","300","285","36340","34300"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","Unknown","125","110","29380","26500"
"In post","2023","Cumbria","East Cumbria","Outside London","AA/AO","450","415","22650","22150"
"In post","2023","Cumbria","East Cumbria","Outside London","EO","245","220","27300","26850"
"In post","2023","Cumbria","East Cumbria","Outside London","G6/G7","95","90","56780","53750"
"In post","2023","Cumbria","East Cumbria","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Cumbria","East Cumbria","Outside London","SEO/HEO","205","195","35610","35020"
"In post","2023","Cumbria","East Cumbria","Outside London","Unknown","105","95","30450","29050"
"In post","2023","Cumbria","West Cumbria","Outside London","AA/AO","620","550","23920","22150"
"In post","2023","Cumbria","West Cumbria","Outside London","EO","275","250","28030","27170"
"In post","2023","Cumbria","West Cumbria","Outside London","G6/G7","40","40","57680","53720"
"In post","2023","Cumbria","West Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cumbria","West Cumbria","Outside London","SEO/HEO","175","165","35530","34170"
"In post","2023","Cumbria","West Cumbria","Outside London","Unknown","255","245","39730","36230"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","AA/AO","435","370","23100","21690"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","EO","310","280","28300","28120"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","G6/G7","30","30","69530","66860"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","SEO/HEO","80","75","36940","34170"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Outside London","Unknown","275","250","29820","26840"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","AA/AO","100","85","21570","21690"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","EO","135","115","27930","28120"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","G6/G7","20","20","60870","55290"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","SEO/HEO","45","45","36720","34970"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","Unknown","85","75","30120","29050"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","AA/AO","435","410","27340","28880"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","EO","300","270","29040","28120"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","G6/G7","55","55","64290","64100"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","SEO/HEO","170","165","40760","40660"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","Unknown","180","165","29250","29050"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","AA/AO","2455","2245","23400","22520"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","EO","2345","2195","27950","28080"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","G6/G7","1105","1065","58810","57970"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","SCS level","55","55","90280","81520"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","SEO/HEO","3155","3020","37160","35000"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Outside London","Unknown","295","270","29160","29050"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","AA/AO","430","405","26210","25340"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","EO","220","205","29800","28480"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","G6/G7","85","80","63710","60850"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","SCS level","10","10","96770","94450"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","SEO/HEO","300","290","39870","39670"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","Unknown","15","15","34630","34040"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","AA/AO","320","290","27560","28880"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","EO","360","320","28780","28120"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","G6/G7","150","145","61920","59400"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","SEO/HEO","330","305","39120","37710"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","Unknown","60","50","32150","31510"
"In post","2023","Devon","Devon CC","Outside London","AA/AO","1820","1635","24430","22150"
"In post","2023","Devon","Devon CC","Outside London","EO","1255","1135","28210","28120"
"In post","2023","Devon","Devon CC","Outside London","G6/G7","895","845","54010","50160"
"In post","2023","Devon","Devon CC","Outside London","SCS level","30","30","93190","90660"
"In post","2023","Devon","Devon CC","Outside London","SEO/HEO","1700","1605","37560","37420"
"In post","2023","Devon","Devon CC","Outside London","Unknown","160","145","30990","29050"
"In post","2023","Devon","Plymouth","Outside London","AA/AO","1000","930","24610","22520"
"In post","2023","Devon","Plymouth","Outside London","EO","830","750","28690","28080"
"In post","2023","Devon","Plymouth","Outside London","G6/G7","210","200","60050","57570"
"In post","2023","Devon","Plymouth","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Devon","Plymouth","Outside London","SEO/HEO","945","895","39550","39460"
"In post","2023","Devon","Plymouth","Outside London","Unknown","335","315","34440","31920"
"In post","2023","Devon","Torbay","Outside London","AA/AO","130","100","21590","21690"
"In post","2023","Devon","Torbay","Outside London","EO","110","90","28130","28120"
"In post","2023","Devon","Torbay","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Devon","Torbay","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Devon","Torbay","Outside London","SEO/HEO","45","40","36130","34170"
"In post","2023","Devon","Torbay","Outside London","Unknown","75","65","29550","29050"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","AA/AO","190","170","21920","21780"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","EO","295","260","27670","28120"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","G6/G7","35","35","60310","54260"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","SEO/HEO","95","90","37140","34970"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","Unknown","155","140","29600","26840"
"In post","2023","Dorset and Somerset","Dorset","Outside London","AA/AO","970","910","26240","24070"
"In post","2023","Dorset and Somerset","Dorset","Outside London","EO","560","520","29530","28120"
"In post","2023","Dorset and Somerset","Dorset","Outside London","G6/G7","105","95","61390","58650"
"In post","2023","Dorset and Somerset","Dorset","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Dorset and Somerset","Dorset","Outside London","SEO/HEO","525","500","38350","37310"
"In post","2023","Dorset and Somerset","Dorset","Outside London","Unknown","85","75","28780","26840"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","AA/AO","515","465","22010","21690"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","EO","690","625","28030","28120"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","G6/G7","215","210","60310","56130"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","SEO/HEO","965","920","38400","35370"
"In post","2023","Dorset and Somerset","Somerset CC","Outside London","Unknown","150","140","29250","26840"
"In post","2023","East Anglia","Breckland and South Norfolk","Outside London","AA/AO","285","270","27620","28880"
"In post","2023","East Anglia","Breckland and South Norfolk","Outside London","EO","135","125","29870","28480"
"In post","2023","East Anglia","Breckland and South Norfolk","Outside London","G6/G7","25","25","65240","63850"
"In post","2023","East Anglia","Breckland and South Norfolk","Outside London","SEO/HEO","105","100","40180","38670"
"In post","2023","East Anglia","Breckland and South Norfolk","Outside London","Unknown","10","10","35920","38980"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","AA/AO","1115","1040","27580","25450"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","EO","685","655","30060","28120"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","G6/G7","315","305","59490","56180"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","SCS level","35","35","102160","99080"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","SEO/HEO","1135","1100","38490","36540"
"In post","2023","East Anglia","Cambridgeshire CC","Outside London","Unknown","175","165","30170","29050"
"In post","2023","East Anglia","North and West Norfolk","Outside London","AA/AO","505","470","26570","24070"
"In post","2023","East Anglia","North and West Norfolk","Outside London","EO","185","170","29860","28120"
"In post","2023","East Anglia","North and West Norfolk","Outside London","G6/G7","20","15","62980","60230"
"In post","2023","East Anglia","North and West Norfolk","Outside London","SEO/HEO","190","180","38030","35000"
"In post","2023","East Anglia","North and West Norfolk","Outside London","Unknown","55","55","30700","29050"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","AA/AO","640","575","24870","23230"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","EO","570","505","28350","28120"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","G6/G7","140","135","57850","56000"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","SCS level","10","10","97820","98240"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","SEO/HEO","385","365","37440","35960"
"In post","2023","East Anglia","Norwich and East Norfolk","Outside London","Unknown","315","290","26860","24570"
"In post","2023","East Anglia","Peterborough","Outside London","AA/AO","695","605","22280","22400"
"In post","2023","East Anglia","Peterborough","Outside London","EO","400","360","27490","28080"
"In post","2023","East Anglia","Peterborough","Outside London","G6/G7","110","105","60310","59200"
"In post","2023","East Anglia","Peterborough","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","East Anglia","Peterborough","Outside London","SEO/HEO","380","360","36850","34850"
"In post","2023","East Anglia","Peterborough","Outside London","Unknown","140","125","30540","29050"
"In post","2023","East Anglia","Suffolk CC","Outside London","AA/AO","1530","1415","25080","22520"
"In post","2023","East Anglia","Suffolk CC","Outside London","EO","1150","1060","28340","28120"
"In post","2023","East Anglia","Suffolk CC","Outside London","G6/G7","265","250","58580","55780"
"In post","2023","East Anglia","Suffolk CC","Outside London","SCS level","10","10","97670","97530"
"In post","2023","East Anglia","Suffolk CC","Outside London","SEO/HEO","1050","1000","36860","35070"
"In post","2023","East Anglia","Suffolk CC","Outside London","Unknown","290","255","29680","26840"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","AA/AO","2945","2670","23440","22520"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","EO","2985","2810","28250","28120"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","G6/G7","1710","1640","61280","59480"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","SCS level","230","220","89780","82480"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","SEO/HEO","4250","4070","38940","38320"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Outside London","Unknown","345","330","30830","29050"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","AA/AO","965","910","24730","23230"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","EO","640","600","29340","28120"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","G6/G7","105","100","58210","56450"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","SEO/HEO","370","360","38470","36930"
"In post","2023","East Wales","Flintshire and Wrexham","Outside London","Unknown","165","155","29310","29050"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","AA/AO","1085","955","23090","21780"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","EO","1120","1035","26670","25100"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","G6/G7","1215","1175","57700","57860"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","SCS level","65","65","80830","75280"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","SEO/HEO","2330","2240","36860","37760"
"In post","2023","East Wales","Monmouthshire and Newport","Outside London","Unknown","145","135","30110","29050"
"In post","2023","East Wales","Powys","Outside London","AA/AO","205","195","22670","22220"
"In post","2023","East Wales","Powys","Outside London","EO","155","145","28730","28120"
"In post","2023","East Wales","Powys","Outside London","G6/G7","40","35","65850","63900"
"In post","2023","East Wales","Powys","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","East Wales","Powys","Outside London","SEO/HEO","160","150","39900","39690"
"In post","2023","East Wales","Powys","Outside London","Unknown","30","25","29080","26840"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","AA/AO","980","910","28280","28880"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","EO","600","570","29890","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","G6/G7","65","60","60390","59290"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","SEO/HEO","275","265","39330","37720"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","Unknown","75","70","31690","31150"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","AA/AO","855","770","25750","23390"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","EO","675","600","28350","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","G6/G7","80","75","58690","56450"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","SEO/HEO","330","305","37050","34850"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","Unknown","235","220","30040","29050"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","AA/AO","265","230","21730","21690"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","EO","355","325","27700","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","G6/G7","25","25","56100","54260"
