"Status","Year","Disability","Ethnicity","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Angus and Dundee City","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Barking & Dagenham and Havering","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Barnet","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Barnsley, Doncaster and Rotherham","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedford","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire","Outside London","35","30","30940","31280"
"In post","2023","Declared disabled","Asian","Bexley and Greenwich","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Birmingham","Outside London","390","355","29320","28120"
"In post","2023","Declared disabled","Asian","Blackburn with Darwen","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Blackpool","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bradford","Outside London","85","75","26060","22520"
"In post","2023","Declared disabled","Asian","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Brent","London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bristol, City of","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Buckinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Calderdale and Kirklees","Outside London","30","30","27640","28120"
"In post","2023","Declared disabled","Asian","Cambridgeshire CC","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Camden and City of London","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cardiff and Vale of Glamorgan","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Causeway Coast and Glens","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Hampshire","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
