"Status","Year","Organisation","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Department for Transport","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Heterosexual / straight","40","40","46830","46150"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Heterosexual / straight","585","530","33990","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","LGBO","40","40","30380","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Undeclared","90","80","33560","34010"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Unknown","125","120","28040","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Heterosexual / straight","1540","1465","28920","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","LGBO","140","140","27480","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Undeclared","215","200","29860","26180"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","215","200","27450","25340"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Heterosexual / straight","410","395","33080","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","LGBO","40","40","28760","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Undeclared","75","70","35670","33830"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","45","45","31980","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Heterosexual / straight","220","210","42930","38850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Undeclared","55","50","45510","40300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Unknown","35","30","44550","38700"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
