"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Derby","130","115","27080","28120"
"In post","2023","Asian","East Midlands (England)","East Derbyshire","5","5","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Leicester","775","695","26610","24360"
"In post","2023","Asian","East Midlands (England)","Leicestershire CC and Rutland","145","125","28640","25960"
"In post","2023","Asian","East Midlands (England)","Lincolnshire CC","25","20","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","North Northamptonshire","10","10","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","North Nottinghamshire","15","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Nottingham","840","790","32600","28130"
"In post","2023","Asian","East Midlands (England)","South Nottinghamshire","35","30","33020","30320"
"In post","2023","Asian","East Midlands (England)","South and West Derbyshire","30","25","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","West Northamptonshire","75","70","29850","28120"
"In post","2023","Asian","East of England","Bedford","95","85","30060","28120"
"In post","2023","Asian","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Cambridgeshire CC","90","85","37040","32570"
"In post","2023","Asian","East of England","Central Bedfordshire","15","10","[c]","[c]"
"In post","2023","Asian","East of England","Essex Haven Gateway","20","20","[c]","[c]"
"In post","2023","Asian","East of England","Essex Thames Gateway","40","40","28820","25610"
"In post","2023","Asian","East of England","Heart of Essex","40","35","33300","29150"
"In post","2023","Asian","East of England","Hertfordshire CC","440","405","35530","31280"
"In post","2023","Asian","East of England","Luton","120","105","27510","27000"
"In post","2023","Asian","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Norwich and East Norfolk","15","15","[c]","[c]"
"In post","2023","Asian","East of England","Peterborough","225","185","25560","22400"
"In post","2023","Asian","East of England","Southend-on-Sea","5","5","[c]","[c]"
"In post","2023","Asian","East of England","Suffolk CC","50","50","30170","28120"
"In post","2023","Asian","East of England","Thurrock","20","20","[c]","[c]"
"In post","2023","Asian","East of England","West Essex","55","50","41820","31280"
"In post","2023","Asian","London","Barking & Dagenham and Havering","170","155","32780","32520"
"In post","2023","Asian","London","Barnet","425","405","40530","33330"
"In post","2023","Asian","London","Bexley and Greenwich","110","100","32800","32520"
"In post","2023","Asian","London","Brent","135","120","32140","32520"
"In post","2023","Asian","London","Bromley","40","35","34370","32520"
"In post","2023","Asian","London","Camden and City of London","290","275","33850","29660"
"In post","2023","Asian","London","Croydon","1795","1685","37420","32580"
"In post","2023","Asian","London","Ealing","160","145","33130","32520"
"In post","2023","Asian","London","Enfield","55","50","32750","32520"
"In post","2023","Asian","London","Hackney and Newham","1490","1400","39070","34370"
"In post","2023","Asian","London","Haringey and Islington","185","170","31860","32520"
"In post","2023","Asian","London","Harrow and Hillingdon","1210","1100","32190","30200"
"In post","2023","Asian","London","Hounslow and Richmond upon Thames","620","570","32380","30280"
"In post","2023","Asian","London","Kensington & Chelsea and Hammersmith & Fulham","110","105","34270","33800"
"In post","2023","Asian","London","Lambeth","240","230","39090","34450"
"In post","2023","Asian","London","Lewisham and Southwark","95","90","35090","32520"
"In post","2023","Asian","London","Merton, Kingston upon Thames and Sutton","80","75","35100","32520"
"In post","2023","Asian","London","Redbridge and Waltham Forest","540","480","30090","30240"
"In post","2023","Asian","London","Tower Hamlets","1130","1090","43970","40000"
"In post","2023","Asian","London","Wandsworth","90","85","31140","30840"
"In post","2023","Asian","London","Westminster","6090","5920","45280","41550"
"In post","2023","Asian","North East (England)","Darlington","50","45","37850","31450"
"In post","2023","Asian","North East (England)","Durham","55","45","29150","25880"
"In post","2023","Asian","North East (England)","Hartlepool and Stockton-on-Tees","20","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","South Teesside","40","35","27710","24520"
"In post","2023","Asian","North East (England)","Sunderland","40","40","26160","27890"
"In post","2023","Asian","North East (England)","Tyneside","485","460","31490","28120"
"In post","2023","Asian","North West (England)","Blackburn with Darwen","105","95","28270","28120"
"In post","2023","Asian","North West (England)","Blackpool","140","135","31360","28120"
"In post","2023","Asian","North West (England)","Cheshire East","45","45","28630","27140"
"In post","2023","Asian","North West (England)","Cheshire West and Chester","5","5","[c]","[c]"
"In post","2023","Asian","North West (England)","Chorley and West Lancashire","25","20","[c]","[c]"
"In post","2023","Asian","North West (England)","East Cumbria","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","East Lancashire","60","55","26850","28120"
"In post","2023","Asian","North West (England)","East Merseyside","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Greater Manchester North East","95","90","28700","28120"
"In post","2023","Asian","North West (England)","Greater Manchester North West","100","90","26080","25870"
"In post","2023","Asian","North West (England)","Greater Manchester South East","60","55","25930","22480"
"In post","2023","Asian","North West (England)","Greater Manchester South West","1105","1055","31790","28130"
"In post","2023","Asian","North West (England)","Lancaster and Wyre","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Liverpool","170","160","32320","27650"
"In post","2023","Asian","North West (England)","Manchester","605","580","34270","30440"
"In post","2023","Asian","North West (England)","Mid Lancashire","795","710","26060","22520"
"In post","2023","Asian","North West (England)","Sefton","60","55","35290","28120"
"In post","2023","Asian","North West (England)","Warrington","40","35","36120","34670"
"In post","2023","Asian","North West (England)","West Cumbria","5","5","[c]","[c]"
"In post","2023","Asian","North West (England)","Wirral","20","20","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Belfast","15","15","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","170","170","51850","53970"
"In post","2023","Asian","Scotland","Aberdeen City and Aberdeenshire","35","35","44520","36530"
"In post","2023","Asian","Scotland","Angus and Dundee City","50","50","30390","28610"
"In post","2023","Asian","Scotland","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","City of Edinburgh","210","200","37440","33590"
"In post","2023","Asian","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","10","10","[c]","[c]"
"In post","2023","Asian","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Falkirk","15","10","[c]","[c]"
"In post","2023","Asian","Scotland","Glasgow City","370","345","31870","28120"
"In post","2023","Asian","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","15","15","[c]","[c]"
"In post","2023","Asian","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","North Lanarkshire","15","15","[c]","[c]"
"In post","2023","Asian","Scotland","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","South Lanarkshire","60","55","30070","22520"
"In post","2023","Asian","Scotland","West Lothian","5","5","[c]","[c]"
"In post","2023","Asian","South East (England)","Berkshire","300","275","31980","31280"
"In post","2023","Asian","South East (England)","Brighton and Hove","15","15","[c]","[c]"
"In post","2023","Asian","South East (England)","Buckinghamshire","105","100","32830","29140"
"In post","2023","Asian","South East (England)","Central Hampshire","80","80","32430","29860"
"In post","2023","Asian","South East (England)","East Kent","55","55","29280","25880"
"In post","2023","Asian","South East (England)","East Surrey","50","45","33490","31280"
"In post","2023","Asian","South East (England)","East Sussex CC","20","15","[c]","[c]"
"In post","2023","Asian","South East (England)","Isle of Wight","5","5","[c]","[c]"
"In post","2023","Asian","South East (England)","Kent Thames Gateway","40","35","32600","31280"
"In post","2023","Asian","South East (England)","Medway","55","50","30390","31280"
"In post","2023","Asian","South East (England)","Mid Kent","25","25","[c]","[c]"
"In post","2023","Asian","South East (England)","Milton Keynes","130","120","34150","28540"
"In post","2023","Asian","South East (England)","North Hampshire","60","55","28690","27470"
"In post","2023","Asian","South East (England)","Oxfordshire CC","95","90","33460","28480"
"In post","2023","Asian","South East (England)","Portsmouth","70","65","31020","28130"
"In post","2023","Asian","South East (England)","South Hampshire","125","105","31880","27070"
"In post","2023","Asian","South East (England)","Southampton","50","50","33710","27880"
"In post","2023","Asian","South East (England)","West Kent","5","5","[c]","[c]"
"In post","2023","Asian","South East (England)","West Surrey","190","185","33870","31280"
"In post","2023","Asian","South East (England)","West Sussex (North East)","80","70","28960","27490"
"In post","2023","Asian","South East (England)","West Sussex (South West)","25","25","[c]","[c]"
"In post","2023","Asian","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","405","390","38070","34760"
"In post","2023","Asian","South West (England)","Bournemouth, Christchurch and Poole","5","5","[c]","[c]"
"In post","2023","Asian","South West (England)","Bristol, City of","230","215","34860","28880"
"In post","2023","Asian","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2023","Asian","South West (England)","Devon CC","55","50","34520","30930"
"In post","2023","Asian","South West (England)","Dorset","15","15","[c]","[c]"
"In post","2023","Asian","South West (England)","Gloucestershire CC","35","35","32400","28120"
"In post","2023","Asian","South West (England)","Plymouth","15","15","[c]","[c]"
"In post","2023","Asian","South West (England)","Somerset CC","10","10","[c]","[c]"
"In post","2023","Asian","South West (England)","Swindon","20","20","[c]","[c]"
"In post","2023","Asian","South West (England)","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Asian","South West (England)","Wiltshire","150","145","37890","34300"
"In post","2023","Asian","Unknown","Unknown","70","65","33840","28120"
"In post","2023","Asian","Wales","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Cardiff and Vale of Glamorgan","320","310","33260","28130"
"In post","2023","Asian","Wales","Central Valleys","45","40","29760","28120"
"In post","2023","Asian","Wales","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Flintshire and Wrexham","10","10","[c]","[c]"
"In post","2023","Asian","Wales","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Monmouthshire and Newport","140","130","36700","34530"
"In post","2023","Asian","Wales","Powys","5","5","[c]","[c]"
"In post","2023","Asian","Wales","South West Wales","10","10","[c]","[c]"
"In post","2023","Asian","Wales","Swansea","100","90","30440","22500"
"In post","2023","Asian","West Midlands (England)","Birmingham","3485","3275","29790","28120"
"In post","2023","Asian","West Midlands (England)","Coventry","475","445","35820","31310"
"In post","2023","Asian","West Midlands (England)","Dudley","110","95","25420","21690"
"In post","2023","Asian","West Midlands (England)","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Asian","West Midlands (England)","Sandwell","105","95","27870","28120"
"In post","2023","Asian","West Midlands (England)","Shropshire","10","10","[c]","[c]"
"In post","2023","Asian","West Midlands (England)","Solihull","265","240","29140","27010"
"In post","2023","Asian","West Midlands (England)","Staffordshire CC","175","165","35050","32060"
"In post","2023","Asian","West Midlands (England)","Stoke-on-Trent","55","50","27610","25750"
"In post","2023","Asian","West Midlands (England)","Telford and Wrekin","150","145","38390","36160"
"In post","2023","Asian","West Midlands (England)","Walsall","55","50","28120","28120"
"In post","2023","Asian","West Midlands (England)","Warwickshire CC","145","135","28110","27110"
"In post","2023","Asian","West Midlands (England)","Wolverhampton","275","255","27330","28120"
"In post","2023","Asian","West Midlands (England)","Worcestershire CC","60","55","32220","28880"
"In post","2023","Asian","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","35","30","30450","28120"
"In post","2023","Asian","Yorkshire and The Humber","Bradford","930","835","25660","22520"
"In post","2023","Asian","Yorkshire and The Humber","Calderdale and Kirklees","175","160","28030","28120"
"In post","2023","Asian","Yorkshire and The Humber","East Riding of Yorkshire","15","15","[c]","[c]"
"In post","2023","Asian","Yorkshire and The Humber","Kingston upon Hull, City of","15","15","[c]","[c]"
"In post","2023","Asian","Yorkshire and The Humber","Leeds","1455","1380","33370","28480"
"In post","2023","Asian","Yorkshire and The Humber","North Yorkshire CC","35","30","32440","27470"
"In post","2023","Asian","Yorkshire and The Humber","North and North East Lincolnshire","10","5","[c]","[c]"
"In post","2023","Asian","Yorkshire and The Humber","Sheffield","485","450","31300","26780"
"In post","2023","Asian","Yorkshire and The Humber","Wakefield","40","35","31300","29050"
"In post","2023","Asian","Yorkshire and The Humber","York","50","50","33950","31730"
"In post","2023","Black","East Midlands (England)","Derby","40","35","27960","28120"
"In post","2023","Black","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Black","East Midlands (England)","Leicester","80","75","27830","25300"
"In post","2023","Black","East Midlands (England)","Leicestershire CC and Rutland","45","40","30330","28120"
"In post","2023","Black","East Midlands (England)","Lincolnshire CC","25","25","[c]","[c]"
"In post","2023","Black","East Midlands (England)","North Northamptonshire","20","20","[c]","[c]"
"In post","2023","Black","East Midlands (England)","North Nottinghamshire","15","10","[c]","[c]"
"In post","2023","Black","East Midlands (England)","Nottingham","340","330","29810","28100"
"In post","2023","Black","East Midlands (England)","South Nottinghamshire","15","15","[c]","[c]"
"In post","2023","Black","East Midlands (England)","South and West Derbyshire","15","10","[c]","[c]"
"In post","2023","Black","East Midlands (England)","West Northamptonshire","65","60","27410","28090"
"In post","2023","Black","East of England","Bedford","45","45","29670","28120"
"In post","2023","Black","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Black","East of England","Cambridgeshire CC","45","40","41280","33830"
"In post","2023","Black","East of England","Central Bedfordshire","10","10","[c]","[c]"
"In post","2023","Black","East of England","Essex Haven Gateway","20","15","[c]","[c]"
"In post","2023","Black","East of England","Essex Thames Gateway","70","65","28930","25610"
"In post","2023","Black","East of England","Heart of Essex","35","35","34460","31270"
"In post","2023","Black","East of England","Hertfordshire CC","170","160","34330","31280"
"In post","2023","Black","East of England","Luton","50","45","29540","28120"
"In post","2023","Black","East of England","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","Black","East of England","Norwich and East Norfolk","15","15","[c]","[c]"
"In post","2023","Black","East of England","Peterborough","35","30","27100","23390"
"In post","2023","Black","East of England","Southend-on-Sea","10","10","[c]","[c]"
"In post","2023","Black","East of England","Suffolk CC","40","40","30040","29050"
"In post","2023","Black","East of England","Thurrock","35","35","34690","31280"
"In post","2023","Black","East of England","West Essex","35","35","33560","30150"
"In post","2023","Black","London","Barking & Dagenham and Havering","120","110","34040","32520"
"In post","2023","Black","London","Barnet","200","195","37330","32520"
"In post","2023","Black","London","Bexley and Greenwich","300","290","33710","32520"
"In post","2023","Black","London","Brent","130","120","31790","32520"
"In post","2023","Black","London","Bromley","145","140","33050","32520"
"In post","2023","Black","London","Camden and City of London","280","265","29570","25480"
"In post","2023","Black","London","Croydon","1525","1460","35810","32520"
