"Status","Year","Age","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Crown Prosecution Service","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Revenue and Customs (excl. agencies)","35","30","23310","22520"
"In post","2023","16-19","Asian","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
