"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Project Delivery","G6/G7","660","640","59150","57860"
"In post","2023","Declared disabled","Project Delivery","SCS level","30","30","91040","85020"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","1210","1155","37560","37590"
"In post","2023","Declared disabled","Project Delivery","Unknown","195","190","41200","39690"
"In post","2023","Declared disabled","Property","AA/AO","145","140","22790","22520"
"In post","2023","Declared disabled","Property","EO","130","120","28090","27470"
"In post","2023","Declared disabled","Property","G6/G7","140","140","58500","57650"
"In post","2023","Declared disabled","Property","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Property","SEO/HEO","350","335","37720","35650"
"In post","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","AA/AO","380","365","27710","22220"
"In post","2023","Declared disabled","Security","EO","155","145","31970","28120"
"In post","2023","Declared disabled","Security","G6/G7","75","75","60010","58890"
"In post","2023","Declared disabled","Security","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","SEO/HEO","230","225","38750","36620"
"In post","2023","Declared disabled","Security","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","410","385","24660","24890"
"In post","2023","Declared disabled","Unknown","EO","485","455","30040","29450"
"In post","2023","Declared disabled","Unknown","G6/G7","535","505","61360","59890"
"In post","2023","Declared disabled","Unknown","SCS level","45","45","87510","83530"
"In post","2023","Declared disabled","Unknown","SEO/HEO","1225","1175","38580","38330"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","AA/AO","105","100","22630","22180"
"In post","2023","Declared non-disabled","Analysis","EO","535","515","27660","27210"
"In post","2023","Declared non-disabled","Analysis","G6/G7","2420","2310","60620","58370"
"In post","2023","Declared non-disabled","Analysis","SCS level","165","160","88890","82400"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","3070","2975","37960","38030"
"In post","2023","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","AA/AO","175","160","22930","22500"
