"Status","Year","Disability","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","10","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
