"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Female","115","100","36730","28850"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Male","45","40","42200","49050"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","Female","205","185","38120","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","Male","110","105","37750","31490"
"In post","2023","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
