"Status","Year","Age","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Debt","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Finance","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Heterosexual / straight","45","45","21350","20980"
"In post","2023","16-19","Legal","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
