"Status","Year","Profession_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","960","915","43640","42620"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","40","40","37330","32500"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","115","110","43040","42620"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","140","135","42380","35290"
"In post","2023","Commercial","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","Heterosexual / straight","80","80","51870","39250"
"In post","2023","Commercial","Birmingham","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","Blackpool","Outside London","Heterosexual / straight","125","120","43400","38470"
"In post","2023","Commercial","Blackpool","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Blackpool","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Blackpool","Outside London","Unknown","30","30","43030","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
