"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","15","15","37860","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","HEO","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","20","20","21710","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","105","100","26000","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","25","25","63860","60300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","75","70","50030","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","155","145","30570","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","120","115","37810","37310"
"In post","2023","Analysis","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","HEO","10","10","30170","30170"
"In post","2023","Analysis","Charity Commission","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","G6","35","35","77610","76720"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","G7","55","50","57900","55950"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","HEO","25","25","34870","34110"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","SCS level","15","15","110580","101830"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","SEO","10","10","45810","45190"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AO","30","30","23740","23340"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","EO","25","25","25690","26310"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G6","45","45","72990","70550"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G7","495","470","52760","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","HEO","190","190","29310","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","SEO","265","255","39600","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","45","45","28210","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","15","15","71840","71030"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","25","25","59430","59370"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","HEO","100","100","36390","34720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","10","10","46300","45570"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G6","15","15","64680","63900"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G7","55","55","56970","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","HEO","50","50","39720","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","EO","30","30","29590","29530"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","G6","45","40","66480","65780"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","G7","150","140","54340","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","HEO","110","110","35010","34030"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","SCS level","10","10","83070","76510"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","SEO","230","215","44110","43250"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","EO","30","30","29180","29280"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","G6","30","25","68200","67010"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","G7","95","95","56640","55500"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","HEO","65","65","34980","35010"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","SCS level","10","10","81070","79690"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","SEO","30","30","43120","41840"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","20","20","28990","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6","30","25","68170","67360"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G7","100","95","55550","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","HEO","65","65","33280","33880"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO","30","30","42370","43840"
