"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA/AO","190","160","25450","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","250","225","29800","30890"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6/G7","50","50","63710","61390"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO/HEO","130","125","39770","38680"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","45","45","29810","28110"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","205","180","25370","23590"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","220","200","29810","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","45","40","61200","57950"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","125","120","38660","37730"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","35","35","28780","25300"
"In post","2023","Asian","Cheshire","AA/AO","25","20","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","25","25","[c]","[c]"
"In post","2023","Asian","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO/HEO","35","30","37320","37540"
"In post","2023","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA/AO","305","270","23060","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","295","275","28000","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6/G7","75","75","59210","57970"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO/HEO","325","315","37010","35000"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","45","40","29930","29050"
"In post","2023","Asian","Devon","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Devon","EO","15","10","[c]","[c]"
"In post","2023","Asian","Devon","G6/G7","10","5","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SEO/HEO","30","30","36640","37420"
"In post","2023","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","EO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","AA/AO","190","155","23140","22400"
"In post","2023","Asian","East Anglia","EO","95","90","27540","27740"
"In post","2023","Asian","East Anglia","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","SEO/HEO","70","70","37500","37300"
"In post","2023","Asian","East Anglia","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","East Wales","AA/AO","130","125","22870","22520"
"In post","2023","Asian","East Wales","EO","105","100","27670","28120"
"In post","2023","Asian","East Wales","G6/G7","60","55","59530","59200"
"In post","2023","Asian","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","SEO/HEO","165","165","37250","35000"
"In post","2023","Asian","East Wales","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","EO","10","10","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Eastern Scotland","AA/AO","85","80","23630","22520"
"In post","2023","Asian","Eastern Scotland","EO","60","55","29220","29100"
"In post","2023","Asian","Eastern Scotland","G6/G7","35","35","61990","60990"
"In post","2023","Asian","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Eastern Scotland","SEO/HEO","100","100","39980","38470"
"In post","2023","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Essex","AA/AO","45","40","24660","25610"
"In post","2023","Asian","Essex","EO","75","65","29920","31280"
"In post","2023","Asian","Essex","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Essex","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Essex","SEO/HEO","30","30","38950","38970"
"In post","2023","Asian","Essex","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","145","135","23180","22400"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","140","130","27450","27920"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","120","115","57590","55110"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","375","360","37210","35450"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","55","50","37410","34050"
"In post","2023","Asian","Greater Manchester","AA/AO","500","445","22400","22520"
"In post","2023","Asian","Greater Manchester","EO","580","555","27510","28120"
"In post","2023","Asian","Greater Manchester","G6/G7","185","180","56300","54960"
"In post","2023","Asian","Greater Manchester","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Greater Manchester","SEO/HEO","635","620","36180","35000"
"In post","2023","Asian","Greater Manchester","Unknown","65","60","30040","26840"
"In post","2023","Asian","Hampshire and Isle of Wight","AA/AO","140","115","23060","22220"
"In post","2023","Asian","Hampshire and Isle of Wight","EO","85","75","27600","28000"
"In post","2023","Asian","Hampshire and Isle of Wight","G6/G7","40","40","54940","54770"
"In post","2023","Asian","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Hampshire and Isle of Wight","SEO/HEO","110","110","35480","34300"
"In post","2023","Asian","Hampshire and Isle of Wight","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","80","65","23330","21780"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","EO","70","65","27790","28120"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","30","25","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inner London - East","AA/AO","485","425","26780","26400"
"In post","2023","Asian","Inner London - East","EO","970","910","32000","32520"
"In post","2023","Asian","Inner London - East","G6/G7","540","525","63260","63040"
"In post","2023","Asian","Inner London - East","SCS level","35","35","96390","91100"
"In post","2023","Asian","Inner London - East","SEO/HEO","1035","1010","40850","39790"
