"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","AA/AO","320","305","27820","30880"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","EO","240","215","28450","28120"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","G6/G7","40","40","61380","56000"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","185","175","39210","38640"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Unknown","115","105","29290","26840"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","130","125","22440","22220"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","130","125","28890","28120"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","35","30","65830","66200"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","160","155","38430","37300"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","690","630","26860","25610"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","815","755","31410","31280"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","370","355","61910","60220"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","35","35","91260","89800"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","700","675","40850","40550"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","225","210","31240","30110"
"In post","2023","Bedfordshire and Hertfordshire","Luton","AA/AO","105","90","21690","21780"
"In post","2023","Bedfordshire and Hertfordshire","Luton","EO","300","265","28150","28120"
"In post","2023","Bedfordshire and Hertfordshire","Luton","G6/G7","10","10","64650","65850"
"In post","2023","Bedfordshire and Hertfordshire","Luton","SEO/HEO","60","55","35860","34170"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Unknown","105","95","29300","26840"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","895","845","29340","26400"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","725","685","32590","31280"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","285","270","59850","57970"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","20","20","85790","84910"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","685","655","39960","38540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","240","230","30210","27390"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","505","480","27320","24270"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","470","445","30100","29140"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","115","115","63550","59970"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SCS level","10","10","92460","90520"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","515","490","39800","38420"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","85","80","31160","31980"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","690","660","27020","25700"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","530","500","29930","28540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","190","175","63020","60700"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","15","15","109980","110430"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","560","540","40670","40300"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","155","150","27760","24570"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","895","835","26540","23720"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","500","470","30030","28120"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","250","235","61650","58690"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SCS level","25","20","103360","102410"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","735","705","38540","37750"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","195","175","32880","30280"
"In post","2023","Cheshire","Cheshire East","AA/AO","460","425","25050","22780"
"In post","2023","Cheshire","Cheshire East","EO","275","255","28320","28120"
"In post","2023","Cheshire","Cheshire East","G6/G7","135","130","58000","56180"
"In post","2023","Cheshire","Cheshire East","SCS level","10","10","[c]","[c]"
"In post","2023","Cheshire","Cheshire East","SEO/HEO","310","295","36930","34300"
"In post","2023","Cheshire","Cheshire East","Unknown","120","110","29280","26840"
"In post","2023","Cheshire","Cheshire West and Chester","AA/AO","120","110","21640","21690"
"In post","2023","Cheshire","Cheshire West and Chester","EO","155","140","27760","28120"
"In post","2023","Cheshire","Cheshire West and Chester","G6/G7","30","30","61610","59290"
"In post","2023","Cheshire","Cheshire West and Chester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cheshire","Cheshire West and Chester","SEO/HEO","60","55","37760","34300"
"In post","2023","Cheshire","Cheshire West and Chester","Unknown","160","150","29740","26840"
"In post","2023","Cheshire","Warrington","AA/AO","720","650","26250","24910"
"In post","2023","Cheshire","Warrington","EO","855","820","32950","32540"
"In post","2023","Cheshire","Warrington","G6/G7","205","200","58390","57640"
"In post","2023","Cheshire","Warrington","SCS level","10","10","91800","88510"
"In post","2023","Cheshire","Warrington","SEO/HEO","780","760","41680","40660"
"In post","2023","Cheshire","Warrington","Unknown","90","85","29800","27530"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","640","575","21760","21690"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","565","515","27860","28120"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","95","90","60370","56450"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","300","285","36340","34300"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","125","110","29380","26500"
"In post","2023","Cumbria","East Cumbria","AA/AO","450","415","22650","22150"
"In post","2023","Cumbria","East Cumbria","EO","245","220","27300","26850"
"In post","2023","Cumbria","East Cumbria","G6/G7","95","90","56780","53750"
"In post","2023","Cumbria","East Cumbria","SCS level","5","5","[c]","[c]"
"In post","2023","Cumbria","East Cumbria","SEO/HEO","205","195","35610","35020"
"In post","2023","Cumbria","East Cumbria","Unknown","105","95","30450","29050"
"In post","2023","Cumbria","West Cumbria","AA/AO","620","550","23920","22150"
"In post","2023","Cumbria","West Cumbria","EO","275","250","28030","27170"
"In post","2023","Cumbria","West Cumbria","G6/G7","40","40","57680","53720"
"In post","2023","Cumbria","West Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cumbria","West Cumbria","SEO/HEO","175","165","35530","34170"
"In post","2023","Cumbria","West Cumbria","Unknown","255","245","39730","36230"
"In post","2023","Derbyshire and Nottinghamshire","Derby","AA/AO","435","370","23100","21690"
"In post","2023","Derbyshire and Nottinghamshire","Derby","EO","310","280","28300","28120"
"In post","2023","Derbyshire and Nottinghamshire","Derby","G6/G7","30","30","69530","66860"
"In post","2023","Derbyshire and Nottinghamshire","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","Derby","SEO/HEO","80","75","36940","34170"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Unknown","275","250","29820","26840"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","AA/AO","100","85","21570","21690"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","EO","135","115","27930","28120"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","G6/G7","20","20","60870","55290"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","45","45","36720","34970"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","85","75","30120","29050"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","AA/AO","435","410","27340","28880"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","EO","300","270","29040","28120"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","G6/G7","55","55","64290","64100"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","170","165","40760","40660"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Unknown","180","165","29250","29050"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","AA/AO","2455","2245","23400","22520"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","EO","2345","2195","27950","28080"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","G6/G7","1105","1065","58810","57970"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","SCS level","55","55","90280","81520"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","3155","3020","37160","35000"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Unknown","295","270","29160","29050"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","430","405","26210","25340"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","220","205","29800","28480"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","85","80","63710","60850"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","SCS level","10","10","96770","94450"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","300","290","39870","39670"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Unknown","15","15","34630","34040"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","AA/AO","320","290","27560","28880"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","360","320","28780","28120"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","150","145","61920","59400"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","SCS level","5","5","[c]","[c]"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","330","305","39120","37710"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","60","50","32150","31510"
"In post","2023","Devon","Devon CC","AA/AO","1820","1635","24430","22150"
"In post","2023","Devon","Devon CC","EO","1255","1135","28210","28120"
"In post","2023","Devon","Devon CC","G6/G7","895","845","54010","50160"
"In post","2023","Devon","Devon CC","SCS level","30","30","93190","90660"
"In post","2023","Devon","Devon CC","SEO/HEO","1700","1605","37560","37420"
"In post","2023","Devon","Devon CC","Unknown","160","145","30990","29050"
"In post","2023","Devon","Plymouth","AA/AO","1000","930","24610","22520"
"In post","2023","Devon","Plymouth","EO","830","750","28690","28080"
