"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Female","55","55","31030","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Male","55","55","31200","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","245","230","33390","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","255","250","38090","37300"
"In post","2023","Analysis","Charity Commission","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","50","45","64570","58050"
"In post","2023","Analysis","Competition and Markets Authority","Male","95","90","62420","57860"
"In post","2023","Analysis","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Female","280","265","42200","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Male","765","745","45380","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","80","80","43270","35970"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","130","125","41310","35700"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","55","55","50740","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","75","75","50760","56300"
"In post","2023","Analysis","Department for Education (excl. agencies)","Female","330","310","45930","43860"
"In post","2023","Analysis","Department for Education (excl. agencies)","Male","245","240","47910","46600"
"In post","2023","Analysis","Department for International Trade","Female","105","100","46660","41550"
"In post","2023","Analysis","Department for International Trade","Male","155","150","50210","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","105","100","47290","49700"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","150","150","48570","49700"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Female","155","150","51270","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Male","205","200","49030","55190"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Female","300","275","45700","40660"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Male","315","310","45240","39150"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Female","75","70","50920","51680"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Male","90","85","47750","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Female","30","30","28450","26960"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Female","65","60","71910","72940"
"In post","2023","Analysis","Government Actuary's Department","Male","115","115","72460","67430"
"In post","2023","Analysis","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Female","25","25","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Male","35","35","42670","39120"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Female","10","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Female","325","305","49360","45170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Male","450","445","48910","45050"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Female","75","75","43160","38160"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Male","110","110","46050","39490"
"In post","2023","Analysis","Health and Safety Executive","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Male","35","35","46590","40840"
"In post","2023","Analysis","Home Office","Female","285","270","44350","43000"
