"Status","Year","Function_of_post","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","London","Female","35","30","49680","44880"
"In post","2023","Analysis","Digital, Data and Technology","London","Male","60","60","48550","43650"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","Female","30","30","42560","39590"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","Male","60","55","43280","39300"
"In post","2023","Analysis","Economics","London","Female","480","465","50270","53500"
"In post","2023","Analysis","Economics","London","Male","870","865","51480","54130"
"In post","2023","Analysis","Economics","Outside London","Female","165","160","40490","37060"
"In post","2023","Analysis","Economics","Outside London","Male","285","280","41300","34700"
"In post","2023","Analysis","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","Male","15","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Male","35","35","54950","55130"
"In post","2023","Analysis","Intelligence Analysis","Outside London","Female","40","40","34190","31750"
"In post","2023","Analysis","Intelligence Analysis","Outside London","Male","40","40","38670","37720"
"In post","2023","Analysis","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","Male","20","15","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Legal","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","Female","85","80","35520","33500"
"In post","2023","Analysis","Operational Delivery","London","Male","55","55","39910","35410"
"In post","2023","Analysis","Operational Delivery","Outside London","Female","315","290","33580","31180"
"In post","2023","Analysis","Operational Delivery","Outside London","Male","310","305","35040","32080"
"In post","2023","Analysis","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","Female","145","135","50240","46600"
"In post","2023","Analysis","Operational Research","London","Male","175","170","51790","48250"
"In post","2023","Analysis","Operational Research","Outside London","Female","190","180","39880","39350"
"In post","2023","Analysis","Operational Research","Outside London","Male","285","280","43920","43240"
"In post","2023","Analysis","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","London","Female","175","165","53360","44570"
"In post","2023","Analysis","Other","London","Male","220","215","59910","48820"
"In post","2023","Analysis","Other","Outside London","Female","100","95","38100","34170"
"In post","2023","Analysis","Other","Outside London","Male","95","90","41310","37680"
"In post","2023","Analysis","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","Female","70","65","50360","43760"
"In post","2023","Analysis","Policy","London","Male","80","80","51720","51120"
"In post","2023","Analysis","Policy","Outside London","Female","50","45","46120","40130"
"In post","2023","Analysis","Policy","Outside London","Male","55","50","44060","38470"
"In post","2023","Analysis","Project Delivery","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","Female","455","425","38460","37310"
"In post","2023","Analysis","Science and Engineering","Outside London","Male","880","860","43740","39890"
"In post","2023","Analysis","Social Research","London","Female","415","400","49660","45170"
"In post","2023","Analysis","Social Research","London","Male","150","145","52340","55150"
"In post","2023","Analysis","Social Research","Outside London","Female","615","575","40800","39300"
"In post","2023","Analysis","Social Research","Outside London","Male","250","250","42290","39300"
"In post","2023","Analysis","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","London","Female","545","520","48470","45540"
"In post","2023","Analysis","Statistics","London","Male","635","625","47600","44160"
"In post","2023","Analysis","Statistics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Outside London","Female","710","665","42670","39300"
"In post","2023","Analysis","Statistics","Outside London","Male","825","805","42640","39300"
"In post","2023","Analysis","Statistics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","Female","30","30","48410","40890"
"In post","2023","Analysis","Unknown","London","Male","80","80","51230","46670"
"In post","2023","Analysis","Unknown","Outside London","Female","25","25","[c]","[c]"
