"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East of England","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","West Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Wales","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South East (England)","AA/AO","10","10","18820","18280"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","AA/AO","85","85","19120","18780"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South West (England)","AA/AO","25","25","21620","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
