"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","Outer London - South","Unknown","75","70","34240","33050"
"In post","2023","Declared disabled","London","Outer London - West and North West","AA/AO","205","185","26530","25610"
"In post","2023","Declared disabled","London","Outer London - West and North West","EO","415","370","31760","32520"
"In post","2023","Declared disabled","London","Outer London - West and North West","G6/G7","40","35","63450","63720"
"In post","2023","Declared disabled","London","Outer London - West and North West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","Outer London - West and North West","SEO/HEO","185","180","39650","39150"
"In post","2023","Declared disabled","London","Outer London - West and North West","Unknown","75","70","36700","34820"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","AA/AO","1145","955","21990","21720"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","EO","775","690","27930","28120"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","G6/G7","205","195","57430","56450"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","630","590","36420","35000"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Unknown","125","115","30500","29050"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","AA/AO","550","470","23760","22400"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","EO","420","370","28230","28120"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","G6/G7","80","75","57880","53380"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","SEO/HEO","235","225","36500","34850"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","Unknown","135","130","31020","29050"
"In post","2023","Declared disabled","North West (England)","Cheshire","AA/AO","165","145","23900","22150"
"In post","2023","Declared disabled","North West (England)","Cheshire","EO","170","150","29230","28120"
"In post","2023","Declared disabled","North West (England)","Cheshire","G6/G7","40","35","57640","54760"
"In post","2023","Declared disabled","North West (England)","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Cheshire","SEO/HEO","115","110","38970","38640"
"In post","2023","Declared disabled","North West (England)","Cheshire","Unknown","60","55","29490","27130"
"In post","2023","Declared disabled","North West (England)","Cumbria","AA/AO","155","140","22380","22150"
"In post","2023","Declared disabled","North West (England)","Cumbria","EO","85","75","27390","28090"
"In post","2023","Declared disabled","North West (England)","Cumbria","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Cumbria","SEO/HEO","60","55","36080","34170"
"In post","2023","Declared disabled","North West (England)","Cumbria","Unknown","40","35","36790","32830"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","AA/AO","690","610","22650","21690"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","EO","750","685","27860","28120"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","G6/G7","305","295","58650","57710"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","SEO/HEO","730","700","36840","35000"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Unknown","240","225","30800","29050"
