"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","AO","10","10","22360","21690"
"In post","2023","16-19","Digital, Data and Technology","Outside London","EO","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","EO","10","10","28260","28510"
"In post","2023","16-19","Economics","Outside London","EO","15","15","25340","24840"
"In post","2023","16-19","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","AO","30","25","21230","19560"
"In post","2023","16-19","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","AO","20","20","22250","22220"
"In post","2023","16-19","Human Resources","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","AA","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","AO","40","40","26380","26400"
"In post","2023","16-19","Operational Delivery","London","EO","10","10","30160","29750"
"In post","2023","16-19","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Outside London","AA","165","150","21930","23230"
"In post","2023","16-19","Operational Delivery","Outside London","AO","600","580","23830","22520"
"In post","2023","16-19","Operational Delivery","Outside London","EO","40","40","26420","25830"
"In post","2023","16-19","Operational Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Outside London","Unknown","30","25","19990","19090"
"In post","2023","16-19","Operational Delivery","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Outside London","AA","15","15","19440","19770"
"In post","2023","16-19","Other","Outside London","AO","25","25","21140","21690"
"In post","2023","16-19","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Policy","London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Policy","London","EO","10","10","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","AO","10","10","21880","22520"
"In post","2023","16-19","Property","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Unknown","15","15","23210","22750"
"In post","2023","16-19","Psychology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","AA","20","20","17820","18960"
"In post","2023","16-19","Science and Engineering","Outside London","AO","75","75","20040","18780"
"In post","2023","16-19","Science and Engineering","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Unknown","15","15","18580","18280"
"In post","2023","16-19","Security","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","AO","5","5","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","AA","45","45","22580","22180"
"In post","2023","16-19","Unknown","Outside London","AO","30","30","23160","22520"
"In post","2023","16-19","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","AO","10","10","24800","25340"
"In post","2023","20-29","Commercial","London","EO","30","30","29810","29450"
"In post","2023","20-29","Commercial","London","G6","10","10","72220","72500"
"In post","2023","20-29","Commercial","London","G7","65","65","59830","56200"
"In post","2023","20-29","Commercial","London","HEO","140","140","33470","34030"
"In post","2023","20-29","Commercial","London","SEO","50","50","43000","43650"
"In post","2023","20-29","Commercial","Outside London","AA","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Outside London","AO","100","100","23580","22220"
