"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","110","105","23650","22390"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","80","75","26910","27080"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","280","265","59990","55730"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","30","30","103400","96910"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","625","600","38390","40590"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","125","125","43970","42620"
"In post","2023","Commercial","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","SEO/HEO","10","10","39310","39240"
"In post","2023","Commercial","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Birmingham","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Birmingham","G6/G7","45","45","68570","67000"
"In post","2023","Commercial","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","SEO/HEO","60","55","36410","34170"
"In post","2023","Commercial","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","EO","10","10","27990","28120"
"In post","2023","Commercial","Blackpool","G6/G7","50","45","60390","56390"
"In post","2023","Commercial","Blackpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","SEO/HEO","110","105","36640","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","G6/G7","25","25","62350","60550"
"In post","2023","Commercial","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","SEO/HEO","55","55","37230","37300"
"In post","2023","Commercial","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Buckinghamshire","EO","15","15","28900","29080"
"In post","2023","Commercial","Buckinghamshire","G6/G7","10","10","62640","67480"
"In post","2023","Commercial","Buckinghamshire","SEO/HEO","45","45","41370","43200"
"In post","2023","Commercial","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","SEO/HEO","45","40","39230","41000"
"In post","2023","Commercial","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","G6/G7","15","15","64410","66860"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","35","35","37400","38070"
