"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G7","15","15","51520","49700"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","HEO","10","10","30950","31290"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","EO","20","20","31880","31070"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","G6","40","40","69050","68020"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","G7","130","130","56680","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","HEO","65","60","34820","35400"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","SCS level","10","10","78740","78980"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","SEO","50","50","43750","43750"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","SEO","15","15","41010","39820"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","EO","10","10","32520","32520"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","G6","15","15","77540","76510"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","G7","70","65","60340","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","HEO","80","75","38660","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","SEO","40","40","44760","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","EO","35","35","28250","28210"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","G6","30","25","70710","70570"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","G7","95","85","54740","53190"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","HEO","125","120","34790","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","SEO","105","95","39870","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","G6","10","10","69500","67890"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","G7","30","30","55700","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","HEO","20","20","34380","34190"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G7","35","35","52900","51920"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","HEO","15","15","31330","30370"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SEO","20","20","39590","38120"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","AO","15","15","22500","22500"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","EO","10","10","27530","27320"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","HEO","15","15","34100","33640"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","HEO","10","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Estyn","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","HEO","10","10","32650","32060"
"In post","2023","Analysis","Food Standards Agency","Outside London","SEO","15","15","39790","38670"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G6","10","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G7","15","15","58480","58650"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","London","EO","15","15","30090","30090"
"In post","2023","Analysis","Government Actuary's Department","London","G6","95","85","94200","92410"
"In post","2023","Analysis","Government Actuary's Department","London","G7","15","15","59120","58970"
"In post","2023","Analysis","Government Actuary's Department","London","HEO","25","25","36040","36700"
"In post","2023","Analysis","Government Actuary's Department","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","London","SEO","20","20","48540","48510"
"In post","2023","Analysis","Government Actuary's Department","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Outside London","G6","10","10","79740","71780"
"In post","2023","Analysis","Government Actuary's Department","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","G7","10","10","60490","60820"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","HEO","15","15","36380","35410"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","SEO","10","10","44500","43650"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","HEO","10","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","EO","15","15","33220","32540"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","G6","40","40","78210","78600"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","G7","120","115","64260","65230"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","HEO","115","110","39520","39450"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","SCS level","10","10","86150","84130"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","SEO","105","100","45870","45560"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","EO","25","25","28000","27890"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G6","20","20","70220","69940"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G7","95","90","57150","57970"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","HEO","105","105","34750","34700"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SEO","110","105","42210","42140"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","AO","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","EO","15","15","25160","24790"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","G6","20","20","65430","64950"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","G7","50","45","54880","54090"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","HEO","60","60","35420","34210"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","G7","20","15","58580","59400"
"In post","2023","Analysis","Health and Safety Executive","Outside London","HEO","15","15","34010","33000"
"In post","2023","Analysis","Health and Safety Executive","Outside London","SEO","20","15","41450","40840"
"In post","2023","Analysis","Home Office","London","AA","25","25","23500","23500"
"In post","2023","Analysis","Home Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","London","EO","40","40","30410","29950"
"In post","2023","Analysis","Home Office","London","G6","30","30","72260","71050"
"In post","2023","Analysis","Home Office","London","G7","115","115","61640","61410"
"In post","2023","Analysis","Home Office","London","HEO","120","120","36340","36400"
"In post","2023","Analysis","Home Office","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","London","SEO","125","125","44430","44170"
"In post","2023","Analysis","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Outside London","G6","5","5","[c]","[c]"
