"Status","Year","Disability","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","260","235","28060","28120"
"In post","2023","Declared disabled","Asian","East of England","145","130","31530","29050"
"In post","2023","Declared disabled","Asian","London","1555","1450","38120","33010"
"In post","2023","Declared disabled","Asian","North East (England)","65","60","28360","28120"
"In post","2023","Declared disabled","Asian","North West (England)","360","330","29550","28120"
"In post","2023","Declared disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","60","55","32460","28120"
"In post","2023","Declared disabled","Asian","South East (England)","135","125","33470","31060"
"In post","2023","Declared disabled","Asian","South West (England)","80","70","35440","31920"
"In post","2023","Declared disabled","Asian","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","40","40","34720","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","600","545","29600","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","300","275","30000","28120"
"In post","2023","Declared disabled","Black","East Midlands (England)","95","85","28270","28120"
"In post","2023","Declared disabled","Black","East of England","85","80","31410","31280"
"In post","2023","Declared disabled","Black","London","1430","1360","36250","32520"
"In post","2023","Declared disabled","Black","North East (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","95","90","32270","28120"
"In post","2023","Declared disabled","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","100","90","32900","31280"
"In post","2023","Declared disabled","Black","South West (England)","60","55","32350","31420"
"In post","2023","Declared disabled","Black","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","225","200","29730","28120"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","80","75","29160","27400"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","90","85","29230","28120"
"In post","2023","Declared disabled","Mixed","East of England","85","80","33080","30260"
"In post","2023","Declared disabled","Mixed","London","545","525","41290","35650"
"In post","2023","Declared disabled","Mixed","North East (England)","55","50","32030","28130"
"In post","2023","Declared disabled","Mixed","North West (England)","195","180","30740","28120"
"In post","2023","Declared disabled","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","60","55","35110","28120"
"In post","2023","Declared disabled","Mixed","South East (England)","150","140","33890","30650"
"In post","2023","Declared disabled","Mixed","South West (England)","120","115","36020","32670"
"In post","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Wales","80","75","30250","28120"
"In post","2023","Declared disabled","Mixed","West Midlands (England)","100","90","29580","28120"
"In post","2023","Declared disabled","Mixed","Yorkshire and The Humber","125","120","32190","28120"
"In post","2023","Declared disabled","Other ethnicity","East Midlands (England)","20","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East of England","20","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","London","190","180","42250","36620"
"In post","2023","Declared disabled","Other ethnicity","North East (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North West (England)","40","35","32250","28300"
"In post","2023","Declared disabled","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Scotland","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South East (England)","30","30","31840","29530"
"In post","2023","Declared disabled","Other ethnicity","South West (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Wales","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","West Midlands (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Yorkshire and The Humber","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East Midlands (England)","135","125","29870","28120"
