"Status","Year","Disability","Ethnicity","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Heterosexual / straight","100","90","43130","36290"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","Heterosexual / straight","65","60","44710","38460"
"In post","2023","Declared disabled","Asian","Cabinet Office","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","Unknown","35","35","33710","30130"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","75","70","44510","41360"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","Heterosexual / straight","55","55","40630","37590"
"In post","2023","Declared disabled","Asian","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Heterosexual / straight","55","55","37720","33830"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Heterosexual / straight","35","35","39260","35060"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Heterosexual / straight","35","35","39300","35760"
"In post","2023","Declared disabled","Asian","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","Heterosexual / straight","1000","895","29510","28120"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","Undeclared","95","80","28190","28120"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","Unknown","85","70","26760","28120"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Heterosexual / straight","30","30","37280","34300"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","Undeclared","[c]","[c]","[c]","[c]"
